ISO3,year,C_reform_n,C_reform,bti_learning,bti_implementation,bti_coordination,C_bti,statecap,statecap_carried,mys,hc
AFG,1960,,,,,,,-1.383,0.0,,
AFG,1961,,,,,,,-1.362,0.0,,
AFG,1962,,,,,,,-1.369,0.0,,
AFG,1963,,,,,,,-1.36,0.0,,
AFG,1964,,,,,,,-1.379,0.0,,
AFG,1965,,,,,,,-1.396,0.0,,
AFG,1966,,,,,,,-1.134,0.0,,
AFG,1967,,,,,,,-1.126,0.0,,
AFG,1968,,,,,,,-1.127,0.0,,
AFG,1969,,,,,,,-1.132,0.0,,
AFG,1970,,,,,,,-1.143,0.0,,
AFG,1971,,,,,,,-1.046,0.0,,
AFG,1972,,,,,,,-1.043,0.0,,
AFG,1973,,,,,,,-1.05,0.0,,
AFG,1974,,,,,,,-0.9673,0.0,,
AFG,1975,,,,,,,-0.9185,0.0,,
AFG,1976,,,,,,,-0.9106,0.0,,
AFG,1977,,,,,,,-0.9242,0.0,,
AFG,1978,,,,,,,-1.177,0.0,,
AFG,1979,,,,,,,-1.211,0.0,,
AFG,1980,,,,,,,-1.174,0.0,,
AFG,1981,,,,,,,-1.194,0.0,,
AFG,1982,,,,,,,-1.062,0.0,,
AFG,1983,,,,,,,-1.069,0.0,,
AFG,1984,,,,,,,-1.032,0.0,,
AFG,1985,,,,,,,-1.001,0.0,,
AFG,1986,,,,,,,-1.098,0.0,,
AFG,1987,,,,,,,-1.045,0.0,,
AFG,1988,,,,,,,-0.9745,0.0,,
AFG,1989,,,,,,,-1.02,0.0,,
AFG,1990,,,,,,,-1.055,0.0,0.87196195,1.123942845860396
AFG,1991,,,,,,,-1.446,0.0,0.91526747,1.1304839789434926
AFG,1992,,,,,,,-1.914,0.0,0.9585729,1.1370631664610835
AFG,1993,,,,,,,-2.029,0.0,1.0018785,1.1436806695689425
AFG,1994,,,,,,,-2.029,0.0,1.0451839,1.1503366545255918
AFG,1995,,,,,,,-1.671,0.0,1.0884894,1.1570313914422936
AFG,1996,,,,,,,-1.143,0.0,1.123602,1.1624881536280876
AFG,1997,,,,,,,-1.1,0.0,1.1587145,1.1679706352068884
AFG,1998,,,,,,,-1.11,0.0,1.1938272,1.1734790045020786
AFG,1999,,,,,,,-1.119,0.0,1.2289397,1.1790133207058293
AFG,2000,,,,,,,-1.184,0.0,1.2640523,1.1845737535104703
AFG,2001,,,,,,,-1.281,0.0,1.3155507,1.1927765132019785
AFG,2002,,,,,,,-1.332,0.0,1.3670491,1.2010360741406505
AFG,2003,,,,,,,-1.803,0.0,1.4185475,1.2093528296552927
AFG,2004,0.0,,3.0,4.0,2.0,3.0,-1.826,0.0,1.4700459,1.2177271757983756
AFG,2005,0.0,,3.0,4.0,2.0,3.0,-1.777,0.0,1.5215443,1.2261595113648964
AFG,2006,0.0,0.0,3.0,4.0,3.0,3.3333333333333335,-1.714,0.0,1.5952808,1.2383348660174514
AFG,2007,2.0,0.5,3.0,4.0,3.0,3.3333333333333335,-1.667,0.0,1.6690171,1.250631084360627
AFG,2008,0.0,0.4,3.0,3.0,3.0,3.0,-1.457,0.0,1.7427535,1.2630494166394912
AFG,2009,1.0,0.6,3.0,3.0,3.0,3.0,-1.327,0.0,1.8164899,1.2755910586445542
AFG,2010,0.0,0.6,3.0,3.0,3.0,3.0,-1.268,0.0,1.8902262,1.2882572175359206
AFG,2011,0.0,0.6,3.0,3.0,3.0,3.0,-1.225,0.0,1.9370431,1.2963644572371933
AFG,2012,0.0,0.2,3.0,3.0,3.0,3.0,-1.183,0.0,1.9838598,1.3045226823283793
AFG,2013,4.0,1.0,3.0,3.0,3.0,3.0,-1.11,0.0,2.0306766,1.3127322660017229
AFG,2014,0.0,0.8,4.0,3.0,3.0,3.3333333333333335,-1.019,0.0,2.0774932,1.3209934785823085
AFG,2015,0.0,0.8,4.0,3.0,3.0,3.3333333333333335,-1.046,0.0,2.12431,1.3293067157849046
AFG,2016,0.0,0.8,5.0,3.0,3.0,3.6666666666666665,-1.046,1.0,2.2685916,1.3552572306055881
AFG,2017,0.0,0.8,5.0,3.0,3.0,3.6666666666666665,-1.046,1.0,2.4128733,1.3817143657747126
AFG,2018,6.0,1.2,5.0,4.0,3.0,4.0,-1.046,1.0,2.557155,1.4086879933008227
AFG,2019,0.0,1.2,5.0,4.0,3.0,4.0,-1.046,1.0,2.7014368,1.4361882153177519
AFG,2020,,,4.0,3.0,3.0,3.3333333333333335,-1.046,1.0,2.8457184,1.464225253816341
AFG,2021,,,4.0,3.0,3.0,3.3333333333333335,-1.046,1.0,2.99,1.492809626932627
AFG,2022,,,3.0,3.0,3.0,3.0,-1.046,1.0,2.51479,1.400713654562381
AFG,2023,,,3.0,3.0,3.0,3.0,-1.046,1.0,2.51479,1.400713654562381
AFG,2024,,,2.0,3.0,2.0,2.3333333333333335,,,,
AFG,2025,,,2.0,3.0,2.0,2.3333333333333335,,,,
AGO,1960,,,,,,,,0.0,,
AGO,1961,,,,,,,,0.0,,
AGO,1962,,,,,,,,0.0,,
AGO,1963,,,,,,,,0.0,,
AGO,1964,,,,,,,,0.0,,
AGO,1965,,,,,,,,0.0,,
AGO,1966,,,,,,,,0.0,,
AGO,1967,,,,,,,,0.0,,
AGO,1968,,,,,,,,0.0,,
AGO,1969,,,,,,,,0.0,,
AGO,1970,,,,,,,,0.0,,
AGO,1971,,,,,,,,0.0,,
AGO,1972,,,,,,,,0.0,,
AGO,1973,,,,,,,,0.0,,
AGO,1974,,,,,,,,0.0,,
AGO,1975,,,,,,,-1.092,0.0,,
AGO,1976,,,,,,,-1.252,0.0,,
AGO,1977,,,,,,,-1.234,0.0,,
AGO,1978,,,,,,,-0.9837,0.0,,
AGO,1979,,,,,,,-0.9413,0.0,,
AGO,1980,,,,,,,-0.956,0.0,,
AGO,1981,,,,,,,-0.9456,0.0,,
AGO,1982,,,,,,,-0.9369,0.0,,
AGO,1983,,,,,,,-0.9313,0.0,,
AGO,1984,,,,,,,-0.7579,0.0,,
AGO,1985,,,,,,,-0.8072,0.0,,
AGO,1986,,,,,,,-0.8197,0.0,,
AGO,1987,,,,,,,-0.8367,0.0,,
AGO,1988,,,,,,,-0.8186,0.0,,
AGO,1989,,,,,,,-0.7382,0.0,,
AGO,1990,,,,,,,-0.7984,0.0,,
AGO,1991,,,,,,,-0.8283,0.0,,
AGO,1992,,,,,,,-0.5038,0.0,,
AGO,1993,,,,,,,-1.045,0.0,,
AGO,1994,,,,,,,-1.062,0.0,,
AGO,1995,,,,,,,-0.965,0.0,,
AGO,1996,,,,,,,-0.9258,0.0,,
AGO,1997,,,,,,,-0.7114,0.0,,
AGO,1998,,,,,,,-0.6165,0.0,,
AGO,1999,,,,,,,-0.4882,0.0,3.3871405,1.5744040614599615
AGO,2000,,,,,,,-0.5537,0.0,3.4257457,1.5825697087040025
AGO,2001,,,,,,,-0.5121,0.0,3.464791,1.5908715234168171
AGO,2002,,,,,,,-0.5494,0.0,3.5051918,1.5995073909747828
AGO,2003,,,,,,,-0.401,0.0,3.5455923,1.6081900727215401
AGO,2004,0.0,,2.0,4.0,6.0,4.0,-0.6334,0.0,3.585993,1.616919930414417
AGO,2005,0.0,,2.0,4.0,6.0,4.0,-0.6577,0.0,3.6263938,1.6256971988269557
AGO,2006,0.0,0.0,3.0,3.0,4.0,3.3333333333333335,-0.6497,0.0,3.6667945,1.6345220917536052
AGO,2007,0.0,0.0,3.0,3.0,4.0,3.3333333333333335,-0.4321,0.0,3.707195,1.643394845459414
AGO,2008,3.0,0.6,4.0,5.0,5.0,4.666666666666667,-0.3896,0.0,3.7475958,1.6523158299776044
AGO,2009,1.0,0.8,4.0,5.0,5.0,4.666666666666667,-0.3822,0.0,3.7879965,1.6612852187980327
AGO,2010,0.0,0.8,4.0,4.0,5.0,4.333333333333333,-0.3168,0.0,3.8283973,1.6703033192004664
AGO,2011,0.0,0.8,4.0,4.0,5.0,4.333333333333333,-0.3302,0.0,3.868798,1.6793703508454783
AGO,2012,1.0,1.0,5.0,5.0,5.0,5.0,-0.2824,0.0,3.9091985,1.6884865564807927
AGO,2013,0.0,0.4,5.0,5.0,5.0,5.0,-0.2944,0.0,3.9495993,1.6976523162926573
AGO,2014,0.0,0.2,3.0,3.0,4.0,3.3333333333333335,-0.09416,0.0,3.99,1.7068678085311695
AGO,2015,0.0,0.2,3.0,3.0,4.0,3.3333333333333335,-0.1073,0.0,5.31563,1.952047125770615
AGO,2016,3.0,0.8,3.0,4.0,5.0,4.0,-0.1073,1.0,5.417391,1.9722134506153512
AGO,2017,1.0,0.8,3.0,4.0,5.0,4.0,-0.1073,1.0,5.5210996,1.9929801067093833
AGO,2018,1.0,1.0,4.0,4.0,5.0,4.333333333333333,-0.1073,1.0,5.626794,2.01436940087608
AGO,2019,0.0,1.0,4.0,4.0,5.0,4.333333333333333,-0.1073,1.0,5.734512,2.0364044168626263
AGO,2020,,,4.0,4.0,5.0,4.333333333333333,-0.1073,1.0,5.8442917,2.0591091991898924
AGO,2021,,,4.0,4.0,5.0,4.333333333333333,-0.1073,1.0,5.956173,2.0825091170823797
AGO,2022,,,4.0,5.0,5.0,4.666666666666667,-0.1073,1.0,5.956173,2.0825091170823797
AGO,2023,,,4.0,5.0,5.0,4.666666666666667,-0.1073,1.0,5.956173,2.0825091170823797
AGO,2024,,,5.0,4.0,5.0,4.666666666666667,,,,
AGO,2025,,,5.0,4.0,5.0,4.666666666666667,,,,
ALB,1960,,,,,,,-0.0183,0.0,,
ALB,1961,,,,,,,0.01011,0.0,,
ALB,1962,,,,,,,-0.02775,0.0,,
ALB,1963,,,,,,,-0.03023,0.0,,
ALB,1964,,,,,,,-0.03409,0.0,,
ALB,1965,,,,,,,-0.06974,0.0,,
ALB,1966,,,,,,,-0.07537,0.0,,
ALB,1967,,,,,,,-0.09093,0.0,,
