a,b,number,start,end
AFG,IND,1,2003,9999
DZA,EGY,2,1963,9999
DZA,GHA,2,1963,9999
DZA,GIN,2,1963,9999
DZA,MLI,2,1963,9999
DZA,MAR,2,1963,9999
EGY,GHA,2,1963,9999
EGY,GIN,2,1963,9999
EGY,MLI,2,1963,9999
EGY,MAR,2,1963,9999
GHA,GIN,2,1963,9999
GHA,MLI,2,1963,9999
GHA,MAR,2,1963,9999
GIN,MLI,2,1963,9999
GIN,MAR,2,1963,9999
MLI,MAR,2,1963,9999
DZA,AGO,3,1994,9999
DZA,BEN,3,1994,9999
DZA,BWA,3,1994,9999
DZA,BFA,3,1994,9999
DZA,BDI,3,1994,9999
DZA,CMR,3,1994,9999
DZA,CPV,3,1994,9999
DZA,CAF,3,1994,9999
DZA,TCD,3,1994,9999
DZA,COM,3,1994,9999
DZA,COG,3,1994,9999
DZA,COD,3,1994,9999
DZA,CIV,3,1994,9999
DZA,DJI,3,1994,9999
DZA,EGY,3,1994,9999
DZA,GNQ,3,1994,9999
DZA,SWZ,3,1994,9999
DZA,ETH,3,1994,9999
DZA,GAB,3,1994,9999
DZA,GMB,3,1994,9999
DZA,GHA,3,1994,9999
DZA,GIN,3,1994,9999
DZA,GNB,3,1994,9999
DZA,KEN,3,1994,9999
DZA,LSO,3,1994,9999
DZA,LBR,3,1994,9999
DZA,LBY,3,1994,9999
DZA,MDG,3,1994,9999
DZA,MWI,3,1994,9999
DZA,MLI,3,1994,9999
DZA,MRT,3,1994,9999
DZA,MUS,3,1994,9999
DZA,MOZ,3,1994,9999
DZA,NAM,3,1994,9999
DZA,NER,3,1994,9999
DZA,NGA,3,1994,9999
DZA,RWA,3,1994,9999
DZA,STP,3,1994,9999
DZA,SEN,3,1994,9999
DZA,SYC,3,1994,9999
DZA,SLE,3,1994,9999
DZA,SOM,3,1994,9999
DZA,SDN,3,1994,9999
DZA,TZA,3,1994,9999
DZA,TGO,3,1994,9999
DZA,TUN,3,1994,9999
DZA,UGA,3,1994,9999
DZA,ESH,3,1994,9999
DZA,ZMB,3,1994,9999
DZA,ZWE,3,1994,9999
AGO,BEN,3,1994,9999
AGO,BWA,3,1994,9999
AGO,BFA,3,1994,9999
AGO,BDI,3,1994,9999
AGO,CMR,3,1994,9999
AGO,CPV,3,1994,9999
AGO,CAF,3,1994,9999
AGO,TCD,3,1994,9999
AGO,COM,3,1994,9999
AGO,COG,3,1994,9999
AGO,COD,3,1994,9999
AGO,CIV,3,1994,9999
AGO,DJI,3,1994,9999
AGO,EGY,3,1994,9999
AGO,GNQ,3,1994,9999
AGO,SWZ,3,1994,9999
AGO,ETH,3,1994,9999
AGO,GAB,3,1994,9999
AGO,GMB,3,1994,9999
AGO,GHA,3,1994,9999
AGO,GIN,3,1994,9999
AGO,GNB,3,1994,9999
AGO,KEN,3,1994,9999
AGO,LSO,3,1994,9999
AGO,LBR,3,1994,9999
AGO,LBY,3,1994,9999
AGO,MDG,3,1994,9999
AGO,MWI,3,1994,9999
AGO,MLI,3,1994,9999
AGO,MRT,3,1994,9999
AGO,MUS,3,1994,9999
AGO,MOZ,3,1994,9999
AGO,NAM,3,1994,9999
AGO,NER,3,1994,9999
AGO,NGA,3,1994,9999
AGO,RWA,3,1994,9999
AGO,STP,3,1994,9999
AGO,SEN,3,1994,9999
AGO,SYC,3,1994,9999
AGO,SLE,3,1994,9999
AGO,SOM,3,1994,9999
AGO,SDN,3,1994,9999
AGO,TZA,3,1994,9999
AGO,TGO,3,1994,9999
AGO,TUN,3,1994,9999
AGO,UGA,3,1994,9999
AGO,ESH,3,1994,9999
AGO,ZMB,3,1994,9999
AGO,ZWE,3,1994,9999
BEN,BWA,3,1994,9999
BEN,BFA,3,1994,9999
BEN,BDI,3,1994,9999
BEN,CMR,3,1994,9999
BEN,CPV,3,1994,9999
BEN,CAF,3,1994,9999
BEN,TCD,3,1994,9999
BEN,COM,3,1994,9999
BEN,COG,3,1994,9999
BEN,COD,3,1994,9999
BEN,CIV,3,1994,9999
BEN,DJI,3,1994,9999
BEN,EGY,3,1994,9999
BEN,GNQ,3,1994,9999
BEN,SWZ,3,1994,9999
BEN,ETH,3,1994,9999
BEN,GAB,3,1994,9999
BEN,GMB,3,1994,9999
BEN,GHA,3,1994,9999
BEN,GIN,3,1994,9999
BEN,GNB,3,1994,9999
BEN,KEN,3,1994,9999
BEN,LSO,3,1994,9999
BEN,LBR,3,1994,9999
BEN,LBY,3,1994,9999
BEN,MDG,3,1994,9999
BEN,MWI,3,1994,9999
BEN,MLI,3,1994,9999
BEN,MRT,3,1994,9999
BEN,MUS,3,1994,9999
BEN,MOZ,3,1994,9999
BEN,NAM,3,1994,9999
BEN,NER,3,1994,9999
BEN,NGA,3,1994,9999
BEN,RWA,3,1994,9999
BEN,STP,3,1994,9999
BEN,SEN,3,1994,9999
BEN,SYC,3,1994,9999
BEN,SLE,3,1994,9999
BEN,SOM,3,1994,9999
BEN,SDN,3,1994,9999
BEN,TZA,3,1994,9999
BEN,TGO,3,1994,9999
BEN,TUN,3,1994,9999
BEN,UGA,3,1994,9999
BEN,ESH,3,1994,9999
BEN,ZMB,3,1994,9999
BEN,ZWE,3,1994,9999
BWA,BFA,3,1994,9999
BWA,BDI,3,1994,9999
BWA,CMR,3,1994,9999
BWA,CPV,3,1994,9999
BWA,CAF,3,1994,9999
BWA,TCD,3,1994,9999
BWA,COM,3,1994,9999
BWA,COG,3,1994,9999
BWA,COD,3,1994,9999
BWA,CIV,3,1994,9999
BWA,DJI,3,1994,9999
BWA,EGY,3,1994,9999
BWA,GNQ,3,1994,9999
BWA,SWZ,3,1994,9999
BWA,ETH,3,1994,9999
BWA,GAB,3,1994,9999
BWA,GMB,3,1994,9999
BWA,GHA,3,1994,9999
BWA,GIN,3,1994,9999
BWA,GNB,3,1994,9999
BWA,KEN,3,1994,9999
BWA,LSO,3,1994,9999
BWA,LBR,3,1994,9999
BWA,LBY,3,1994,9999
BWA,MDG,3,1994,9999
BWA,MWI,3,1994,9999
BWA,MLI,3,1994,9999
BWA,MRT,3,1994,9999
BWA,MUS,3,1994,9999
BWA,MOZ,3,1994,9999
BWA,NAM,3,1994,9999
BWA,NER,3,1994,9999
BWA,NGA,3,1994,9999
BWA,RWA,3,1994,9999
BWA,STP,3,1994,9999
BWA,SEN,3,1994,9999
BWA,SYC,3,1994,9999
BWA,SLE,3,1994,9999
BWA,SOM,3,1994,9999
BWA,SDN,3,1994,9999
BWA,TZA,3,1994,9999
BWA,TGO,3,1994,9999
BWA,TUN,3,1994,9999
BWA,UGA,3,1994,9999
BWA,ESH,3,1994,9999
BWA,ZMB,3,1994,9999
BWA,ZWE,3,1994,9999
BFA,BDI,3,1994,9999
BFA,CMR,3,1994,9999
BFA,CPV,3,1994,9999
BFA,CAF,3,1994,9999
BFA,TCD,3,1994,9999
BFA,COM,3,1994,9999
BFA,COG,3,1994,9999
BFA,COD,3,1994,9999
BFA,CIV,3,1994,9999
BFA,DJI,3,1994,9999
BFA,EGY,3,1994,9999
BFA,GNQ,3,1994,9999
BFA,SWZ,3,1994,9999
BFA,ETH,3,1994,9999
BFA,GAB,3,1994,9999
BFA,GMB,3,1994,9999
BFA,GHA,3,1994,9999
BFA,GIN,3,1994,9999
BFA,GNB,3,1994,9999
BFA,KEN,3,1994,9999
BFA,LSO,3,1994,9999
BFA,LBR,3,1994,9999
BFA,LBY,3,1994,9999
BFA,MDG,3,1994,9999
BFA,MWI,3,1994,9999
BFA,MLI,3,1994,9999
BFA,MRT,3,1994,9999
BFA,MUS,3,1994,9999
BFA,MOZ,3,1994,9999
BFA,NAM,3,1994,9999
BFA,NER,3,1994,9999
BFA,NGA,3,1994,9999
BFA,RWA,3,1994,9999
BFA,STP,3,1994,9999
BFA,SEN,3,1994,9999
BFA,SYC,3,1994,9999
BFA,SLE,3,1994,9999
BFA,SOM,3,1994,9999
BFA,SDN,3,1994,9999
BFA,TZA,3,1994,9999
BFA,TGO,3,1994,9999
BFA,TUN,3,1994,9999
BFA,UGA,3,1994,9999
BFA,ESH,3,1994,9999
BFA,ZMB,3,1994,9999
BFA,ZWE,3,1994,9999
BDI,CMR,3,1994,9999
BDI,CPV,3,1994,9999
BDI,CAF,3,1994,9999
BDI,TCD,3,1994,9999
BDI,COM,3,1994,9999
BDI,COG,3,1994,9999
BDI,COD,3,1994,9999
BDI,CIV,3,1994,9999
BDI,DJI,3,1994,9999
BDI,EGY,3,1994,9999
BDI,GNQ,3,1994,9999
BDI,SWZ,3,1994,9999
BDI,ETH,3,1994,9999
BDI,GAB,3,1994,9999
BDI,GMB,3,1994,9999
BDI,GHA,3,1994,9999
BDI,GIN,3,1994,9999
BDI,GNB,3,1994,9999
BDI,KEN,3,1994,9999
BDI,LSO,3,1994,9999
BDI,LBR,3,1994,9999
BDI,LBY,3,1994,9999
BDI,MDG,3,1994,9999
BDI,MWI,3,1994,9999
BDI,MLI,3,1994,9999
BDI,MRT,3,1994,9999
BDI,MUS,3,1994,9999
BDI,MOZ,3,1994,9999
BDI,NAM,3,1994,9999
BDI,NER,3,1994,9999
BDI,NGA,3,1994,9999
BDI,RWA,3,1994,9999
BDI,STP,3,1994,9999
BDI,SEN,3,1994,9999
BDI,SYC,3,1994,9999
