ISO3,year,D_pend
ABW,1989,0.0
AGO,1989,0.0
AIA,1989,0.0
ARE,1989,0.5079365079365079
ARG,1989,0.0
ATG,1989,0.0
AUS,1989,0.0
AUT,1989,0.0
BDI,1989,0.0
BEL,1989,0.0
BEN,1989,0.0
BFA,1989,0.0
BGD,1989,0.0
BGR,1989,0.0
BHR,1989,0.5079365079365079
BHS,1989,0.0
BLZ,1989,0.0
BMU,1989,0.0
BOL,1989,0.0
BRA,1989,0.0
BRB,1989,0.0
BTN,1989,0.0
BWA,1989,0.0
CAF,1989,0.0
CAN,1989,0.0
CHE,1989,0.0
CHL,1989,0.0
CIV,1989,0.0
CMR,1989,0.0
COD,1989,0.0
COG,1989,0.0
COK,1989,0.0
COL,1989,0.0
COM,1989,0.0
CRI,1989,0.0
CUB,1989,0.0
CYM,1989,0.0
CYP,1989,0.0
CZE,1989,0.0
DEU,1989,0.0
DJI,1989,0.5079365079365079
DMA,1989,0.0
DNK,1989,0.0
DOM,1989,0.0
DZA,1989,0.5079365079365079
ECU,1989,0.0
EGY,1989,0.0
ESP,1989,0.0
ETH,1989,0.0
FIN,1989,0.0
FJI,1989,0.0
FRA,1989,0.0
FRO,1989,0.0
FSM,1989,0.0
GAB,1989,0.0
GBR,1989,0.0
GHA,1989,0.0
GIN,1989,0.0
GMB,1989,0.0
GNB,1989,0.0
GNQ,1989,0.0
GRC,1989,0.0
GRD,1989,0.0
GRL,1989,0.0
GTM,1989,0.0
GUY,1989,0.0
HND,1989,0.0
HTI,1989,0.0
HUN,1989,0.0
IDN,1989,0.0
IND,1989,0.0
IRL,1989,0.0
IRN,1989,0.0
IRQ,1989,0.5079365079365079
ISL,1989,0.0
ISR,1989,0.0
ITA,1989,0.0
JAM,1989,0.0
JOR,1989,0.5079365079365079
KEN,1989,0.0
KIR,1989,0.0
KNA,1989,0.0
KOR,1989,0.0
KWT,1989,0.5079365079365079
LAO,1989,0.0
LBN,1989,0.5079365079365079
LBR,1989,0.0
LBY,1989,0.5079365079365079
LCA,1989,0.0
LIE,1989,0.0
LKA,1989,0.0
LSO,1989,0.0
LUX,1989,0.0
MAR,1989,0.5079365079365079
MCO,1989,0.0
MDG,1989,0.0
MEX,1989,0.0
MHL,1989,0.0
MLI,1989,0.0
MLT,1989,0.0
MOZ,1989,0.0
MRT,1989,0.5079365079365079
MSR,1989,0.0
MUS,1989,0.0
MWI,1989,0.0
MYS,1989,0.0
NCL,1989,0.0
NER,1989,0.0
NGA,1989,0.0
NIC,1989,0.0
NIU,1989,0.0
NLD,1989,0.0
NOR,1989,0.0
NRU,1989,0.0
NZL,1989,0.0
OMN,1989,0.5079365079365079
PAK,1989,0.0
PAN,1989,0.0
PCN,1989,0.0
PER,1989,0.0
PHL,1989,0.0
PNG,1989,0.0
POL,1989,0.0
PRK,1989,0.0
PRT,1989,0.0
PRY,1989,0.0
PSE,1989,0.5079365079365079
PYF,1989,0.0
QAT,1989,0.5079365079365079
ROU,1989,0.0
RWA,1989,0.0
SAU,1989,0.5079365079365079
SDN,1989,0.5079365079365079
SEN,1989,0.0
SGP,1989,0.0
SLB,1989,0.0
SLE,1989,0.0
SLV,1989,0.0
SOM,1989,0.5079365079365079
SPM,1989,0.0
SRB,1989,0.0
STP,1989,0.0
SWE,1989,0.0
SWZ,1989,0.0
SYC,1989,0.0
SYR,1989,0.5079365079365079
TCA,1989,0.0
TCD,1989,0.0
TGO,1989,0.0
THA,1989,0.0
TON,1989,0.0
TTO,1989,0.0
TUN,1989,0.5079365079365079
TUR,1989,0.0
TUV,1989,0.0
TZA,1989,0.0
UGA,1989,0.0
URY,1989,0.0
USA,1989,0.0
VCT,1989,0.0
VEN,1989,0.0
VNM,1989,0.0
VUT,1989,0.0
WLF,1989,0.0
WSM,1989,0.0
YEM,1989,0.5079365079365079
YUG,1989,0.0
ZAF,1989,0.0
ZMB,1989,0.0
ZWE,1989,0.0
ABW,1990,0.0
AGO,1990,0.0
AIA,1990,0.0
AND,1990,0.0
ARE,1990,0.5079365079365079
ARG,1990,0.0
ATG,1990,0.0
AUS,1990,0.0
AUT,1990,0.0
BDI,1990,0.0
BEL,1990,0.0
BEN,1990,0.0
BFA,1990,0.0
BGD,1990,0.0
BGR,1990,0.0
BHR,1990,0.5079365079365079
BHS,1990,0.0
BLZ,1990,0.0
BMU,1990,0.0
BOL,1990,0.0
BRA,1990,0.0
BRB,1990,0.0
BTN,1990,0.0
BWA,1990,0.0
CAF,1990,0.0
CAN,1990,0.0
CHE,1990,0.0
CHL,1990,0.0
CIV,1990,0.0
CMR,1990,0.0
COD,1990,0.0
COG,1990,0.0
COK,1990,0.0
COL,1990,0.0
COM,1990,0.0
CRI,1990,0.0
CUB,1990,0.0
CYM,1990,0.0
CYP,1990,0.0
CZE,1990,0.0
DEU,1990,0.0
DJI,1990,0.5079365079365079
DMA,1990,0.0
DNK,1990,0.0
DOM,1990,0.0
DZA,1990,0.5079365079365079
ECU,1990,0.0
EGY,1990,0.0
ESP,1990,0.0
ETH,1990,0.0
FIN,1990,0.0
FJI,1990,0.0
FRA,1990,0.0
FRO,1990,0.0
FSM,1990,0.0
GAB,1990,0.0
GBR,1990,0.0
GHA,1990,0.0
GIN,1990,0.0
GMB,1990,0.0
GNB,1990,0.0
GNQ,1990,0.0
GRC,1990,0.0
GRD,1990,0.0
GRL,1990,0.0
GTM,1990,0.0
GUY,1990,0.0
HND,1990,0.0
HTI,1990,0.0
HUN,1990,0.0
IDN,1990,0.0
IND,1990,0.0
IRL,1990,0.0
IRN,1990,0.0
IRQ,1990,0.5079365079365079
ISL,1990,0.0
ISR,1990,0.0
ITA,1990,0.0
JAM,1990,0.0
JOR,1990,0.5079365079365079
KEN,1990,0.0
KIR,1990,0.0
KNA,1990,0.0
KOR,1990,0.0
KWT,1990,0.5079365079365079
LAO,1990,0.0
LBN,1990,0.5079365079365079
LBR,1990,0.0
LBY,1990,0.5079365079365079
LCA,1990,0.0
LIE,1990,0.0
LKA,1990,0.0
LSO,1990,0.0
LUX,1990,0.0
MAR,1990,0.5079365079365079
MCO,1990,0.0
MDG,1990,0.0
MEX,1990,0.0
MHL,1990,0.0
MLI,1990,0.0
MLT,1990,0.0
MOZ,1990,0.0
MRT,1990,0.5079365079365079
MSR,1990,0.0
MUS,1990,0.0
MWI,1990,0.0
MYS,1990,0.0
NCL,1990,0.0
NER,1990,0.0
NGA,1990,0.0
NIC,1990,0.0
NIU,1990,0.0
NLD,1990,0.0
NOR,1990,0.0
NRU,1990,0.0
NZL,1990,0.0
OMN,1990,0.5079365079365079
PAK,1990,0.0
PAN,1990,0.0
PCN,1990,0.0
PER,1990,0.0
PHL,1990,0.0
PNG,1990,0.0
POL,1990,0.0
PRK,1990,0.0
PRT,1990,0.0
PRY,1990,0.0
PSE,1990,0.5079365079365079
PYF,1990,0.0
QAT,1990,0.5079365079365079
ROU,1990,0.0
RWA,1990,0.0
SAU,1990,0.5079365079365079
SDN,1990,0.5079365079365079
SEN,1990,0.0
SGP,1990,0.0
SLB,1990,0.0
SLE,1990,0.0
SLV,1990,0.0
SOM,1990,0.5079365079365079
SPM,1990,0.0
SRB,1990,0.0
STP,1990,0.0
SWE,1990,0.0
SWZ,1990,0.0
SYC,1990,0.0
SYR,1990,0.5079365079365079
TCA,1990,0.0
TCD,1990,0.0
TGO,1990,0.0
THA,1990,0.0
TON,1990,0.0
TTO,1990,0.0
TUN,1990,0.5079365079365079
TUR,1990,0.0
TUV,1990,0.0
TZA,1990,0.0
UGA,1990,0.0
URY,1990,0.0
USA,1990,0.0
VCT,1990,0.0
VEN,1990,0.0
VNM,1990,0.0
VUT,1990,0.0
WLF,1990,0.0
WSM,1990,0.0
YEM,1990,0.5079365079365079
YUG,1990,0.0
ZAF,1990,0.0
ZMB,1990,0.0
ZWE,1990,0.0
ABW,1991,0.0
AGO,1991,0.18311533888228304
AIA,1991,0.0
AND,1991,0.0
ARE,1991,0.5079365079365079
ARG,1991,0.0
ATG,1991,0.0
AUS,1991,0.0
AUT,1991,0.0
BDI,1991,0.18311533888228304
BEL,1991,0.0
BEN,1991,0.7586206896551724
BFA,1991,0.7586206896551724
BGD,1991,0.0
BGR,1991,0.0
BHR,1991,0.5079365079365079
BHS,1991,0.0
BLZ,1991,0.0
BMU,1991,0.0
BOL,1991,0.0
BRA,1991,0.0
BRB,1991,0.0
BTN,1991,0.0
BWA,1991,0.09010437310080588
CAF,1991,0.7586206896551722
CAN,1991,0.0
CHE,1991,0.0
CHL,1991,0.8804788837629558
CIV,1991,0.7586206896551724
CMR,1991,0.7586206896551722
COD,1991,0.18311533888228304
COG,1991,0.7586206896551722
COK,1991,0.0
COL,1991,0.0
COM,1991,0.18311533888228304
CPV,1991,0.7586206896551724
CRI,1991,0.0
CUB,1991,0.0
CYM,1991,0.0
CYP,1991,0.0
CZE,1991,3.0344827586206895
DEU,1991,0.0
DJI,1991,0.691051846818791
DMA,1991,0.0
DNK,1991,0.0
DOM,1991,0.0
DZA,1991,1.2665571975916803
ECU,1991,0.0
EGY,1991,0.09038328380471372
ESH,1991,0.7586206896551724
ESP,1991,9.57456336436735e-13
EST,1991,0.0
ETH,1991,0.18311533888228304
FIN,1991,0.0
FJI,1991,0.0
FRA,1991,0.0
FRO,1991,0.5079365079365079
FSM,1991,0.0
GAB,1991,0.7586206896551722
GBR,1991,0.0
GHA,1991,0.7586206896551724
GIN,1991,0.7586206896551724
GMB,1991,0.7586206896551724
GNB,1991,0.7586206896551724
GNQ,1991,0.7586206896551722
GRC,1991,0.0
GRD,1991,0.0
GRL,1991,0.0
GTM,1991,0.0
GUY,1991,0.0
HND,1991,0.0
HTI,1991,0.0
HUN,1991,4.11504424778761
IDN,1991,0.0
IND,1991,0.0
IRL,1991,0.0
IRN,1991,0.0
IRQ,1991,0.5079365079365079
ISL,1991,0.0
ISR,1991,0.0
ITA,1991,0.0
JAM,1991,0.0
JOR,1991,0.5079365079365079
KEN,1991,0.04420025421296536
KIR,1991,0.0
KNA,1991,0.0
KOR,1991,0.0
KWT,1991,0.5079365079365079
LAO,1991,0.0
LBN,1991,0.5079365079365079
LBR,1991,0.7586206896551724
LBY,1991,1.2665571975916803
LCA,1991,0.0
LIE,1991,2.999378523327323e-12
LKA,1991,0.0
LSO,1991,0.09010437310080588
LTU,1991,0.0
LUX,1991,0.0
MAR,1991,0.5079365079365079
MCO,1991,0.0
MDG,1991,0.18311533888228304
MEX,1991,1.0158730158735239
MHL,1991,0.0
MLI,1991,0.7586206896551724
MLT,1991,0.0
MOZ,1991,0.18311533888228304
MRT,1991,1.2665571975916803
MSR,1991,0.0
MUS,1991,0.18311533888228304
MWI,1991,0.18311533888228304
MYS,1991,0.0
NAM,1991,0.7586206896551724
NCL,1991,0.0
NER,1991,0.7586206896551724
NGA,1991,0.7586206896551724
NIC,1991,0.0
NIU,1991,0.0
NLD,1991,0.0
NOR,1991,0.0
NPL,1991,0.0
NRU,1991,0.0
NZL,1991,0.0
OMN,1991,0.5079365079365079
PAK,1991,0.0
PAN,1991,0.0
PCN,1991,0.0
PER,1991,0.0
PHL,1991,0.0
PNG,1991,0.0
POL,1991,3.793103448275862
PRK,1991,0.0
PRT,1991,9.57456336436735e-13
PRY,1991,0.0
PSE,1991,0.5079365079365079
PYF,1991,0.0
QAT,1991,0.5079365079365079
ROU,1991,0.0
RWA,1991,0.18311533888228304
SAU,1991,0.5079365079365079
SDN,1991,1.2665571975916803
SEN,1991,0.7586206896551724
SGP,1991,0.0
SLB,1991,0.0
SLE,1991,0.7586206896551724
SLV,1991,0.0
SMR,1991,0.0
SOM,1991,0.691051846818791
SPM,1991,0.0
SRB,1991,0.0
STP,1991,0.7586206896551722
SWE,1991,0.0
SWZ,1991,0.09010437310080588
SYC,1991,0.18311533888228304
SYR,1991,0.5079365079365079
TCA,1991,0.0
TCD,1991,0.7586206896551722
TGO,1991,0.7586206896551724
THA,1991,0.0
TON,1991,0.0
TTO,1991,0.0
TUN,1991,1.2665571975916803
TUR,1991,2.0582639714604865
TUV,1991,0.0
TZA,1991,0.04420025421296536
UGA,1991,0.04420025421296536
URY,1991,0.0
USA,1991,0.0
VCT,1991,0.0
VEN,1991,0.0
VNM,1991,0.0
