ISO3,year,D_US,D_EU,D_ON,D_S
CAN,1989,1.6460176991150441,0.0,0.0,0.0
ISR,1989,4.999999999995,0.0,0.0,0.0
USA,1989,5.823008849553345,0.0,0.0,0.0
CAN,1990,1.6460176991150441,0.0,0.0,0.0
ISR,1990,4.999999999995,0.0,0.0,0.0
USA,1990,5.823008849553345,0.0,0.0,0.0
CAN,1991,1.6460176991150441,0.0,0.0,0.0
ISR,1991,4.999999999995,0.0,0.0,0.0
USA,1991,5.823008849553345,0.0,0.0,0.0
CAN,1992,1.6460176991150441,0.0,0.0,0.0
ISR,1992,4.999999999995,0.0,0.0,0.0
USA,1992,5.823008849553345,0.0,0.0,0.0
CAN,1993,1.6460176991150441,0.0,0.0,0.0
ISR,1993,4.999999999995,2.999999999997,0.0,0.0
USA,1993,5.823008849553345,0.0,0.0,0.0
CAN,1994,5.999999999995646,0.0,0.0,0.0
ISR,1994,4.999999999995,2.999999999997,0.0,1.3333333333333333
MEX,1994,5.999999999994,0.0,0.0,2.0158730158725238
USA,1994,5.999999999999823,0.0,0.0,0.0
CAN,1995,5.999999999995646,0.0,0.0,0.0
ISR,1995,4.999999999995,2.999999999997,0.0,1.3333333333333333
MEX,1995,5.999999999994,0.0,0.0,5.999999999998997
USA,1995,5.999999999999823,0.0,0.0,0.0
CAN,1996,5.999999999995646,0.0,0.0,0.0
ISR,1996,4.999999999995,2.999999999997,0.0,1.3333333333333333
MEX,1996,5.999999999994,0.0,0.0,5.999999999998997
USA,1996,5.999999999999823,0.0,0.0,0.0
CAN,1997,5.999999999995646,0.0,3.999999999997,0.0
ISR,1997,4.999999999995,2.999999999997,0.999999999999,3.9857593327206855
MEX,1997,5.999999999994,0.0,0.0,5.999999999998997
USA,1997,5.999999999999823,0.0,0.0,0.0
CAN,1998,5.999999999995646,0.0,3.999999999997,0.0
ISR,1998,4.999999999995,2.999999999997,0.999999999999,4.507528234080415
MEX,1998,5.999999999994,0.0,0.0,5.999999999999
USA,1998,5.999999999999823,0.0,0.0,0.0
CAN,1999,5.999999999995646,0.0,3.999999999997,0.0
ISR,1999,4.999999999995,2.999999999997,0.999999999999,4.507528234080415
MEX,1999,5.999999999994,0.0,0.0,6.0
USA,1999,5.999999999999823,0.0,0.0,0.0
CAN,2000,5.999999999995646,0.0,3.999999999997,0.0
ISR,2000,4.999999999995,3.999999999999,0.999999999999,4.999591726143415
MEX,2000,5.999999999994,4.999999999995,0.0,6.0
USA,2000,5.999999999999823,0.0,0.0,0.0
CAN,2001,5.999999999995646,0.0,3.999999999997,0.0
ISR,2001,4.999999999995,3.999999999999,0.999999999999,4.999799103338976
JOR,2001,1.999999999998,0.0,0.0,1.0158730158730158
MEX,2001,5.999999999994,4.999999999995,2.999999999997,6.0
USA,2001,6.0,0.0,0.0,0.0
VNM,2001,2.0317460317460316,0.0,0.0,2.999999999997
CAN,2002,5.999999999995646,0.0,4.9999999999960005,0.0
ISR,2002,4.999999999995,3.999999999999,0.999999999999,4.99996444306652
JOR,2002,1.999999999998,2.999999999997,2.999999999997,1.2658100277147897
MEX,2002,5.999999999994,4.999999999995,2.999999999997,6.0
USA,2002,6.0,0.0,0.0,0.0
VNM,2002,2.0317460317460316,0.0,0.0,2.999999999997
CAN,2003,5.999999999995646,0.0,4.9999999999960005,0.0
ISR,2003,4.999999999995,3.999999999999,0.999999999999,4.99996444306652
JOR,2003,1.999999999998,2.999999999997,2.999999999997,1.388794906557567
MEX,2003,5.999999999994,4.999999999995,2.999999999997,6.0
USA,2003,6.0,0.0,0.0,0.0
VNM,2003,2.0317460317460316,0.0,0.0,2.999999999997
CAN,2004,5.999999999995646,0.0,4.9999999999960005,0.0
CHL,2004,5.999999999994,4.999999999995,4.999999999998,6.0
CRI,2004,5.999999999994,0.0,0.999999999999,6.0
GTM,2004,5.999999999994,0.0,0.0,5.999999999999998
HND,2004,5.999999999994,0.0,0.0,5.999999999999998
ISR,2004,4.999999999995,3.999999999999,0.999999999999,5.999964443068012
JOR,2004,1.999999999998,2.999999999997,2.999999999997,3.880858398618567
MEX,2004,5.999999999994,4.999999999995,2.999999999997,6.0
NIC,2004,5.999999999994,0.0,0.0,6.0
SGP,2004,4.999999999995,0.0,5.999999999999,3.5079365079340157
SLV,2004,5.999999999994,0.0,0.0,6.0
USA,2004,6.0,0.0,0.0,0.0
VNM,2004,2.0317460317460316,0.0,0.0,2.999999999997
AUS,2005,5.999999999994,0.0,5.757873519778163,0.0
CAN,2005,5.999999999995646,0.0,4.9999999999960005,0.0
CHL,2005,5.999999999994,4.999999999995,4.999999999998,6.0
CRI,2005,5.999999999994,0.0,0.999999999999,6.0
GTM,2005,5.999999999994,0.0,0.0,5.999999999999998
HND,2005,5.999999999994,0.0,0.0,5.999999999999998
