number,standards,investments,services,procurement,competition,iprs,source,base
1,0.0,0.0,0.0,0.0,1.0,0.0,WB,1
10,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,10
100,0.0,1.0,1.0,0.0,0.0,0.0,WB,100
100+1,0.0,0.0,0.0,0.0,0.0,0.0,WB,100
1003,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1003
1007,1.0,1.0,1.0,1.0,1.0,1.0,WB,1007
1008a,1.0,1.0,1.0,1.0,1.0,1.0,WB,874
1012,1.0,0.0,0.0,0.0,0.0,0.0,WB,1012
1013,1.0,1.0,1.0,0.0,1.0,1.0,WB,1013
1014,1.0,1.0,1.0,0.0,1.0,1.0,WB,1014
1015,0.0,1.0,1.0,1.0,1.0,1.0,WB,1015
1016a,1.0,1.0,1.0,1.0,1.0,1.0,WB,810
1017a,1.0,1.0,1.0,1.0,1.0,1.0,WB,815
1018,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1018
1019a,1.0,1.0,1.0,1.0,0.0,1.0,WB,799
1020a,1.0,1.0,1.0,1.0,0.0,1.0,WB,202
1021a,0.0,0.0,0.0,0.0,1.0,0.0,WB,307
1022,1.0,1.0,1.0,1.0,1.0,1.0,WB,1022
1023,0.0,0.0,0.0,0.0,0.0,1.0,WB,1023
1024a,1.0,1.0,1.0,1.0,1.0,1.0,WB,316
1025a,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,318
1027a,0.0,1.0,1.0,0.0,1.0,1.0,WB,323
1031,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1031
1031+1,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1031
1031+2,1.0,0.0,0.0,0.0,0.0,0.0,WB,1031
1035,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1035
1036,1.0,1.0,1.0,1.0,1.0,1.0,WB,1036
1037,1.0,1.0,1.0,0.0,0.0,1.0,WB,1037
104,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,104
1040,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1040
1040+1,1.0,1.0,1.0,0.0,0.0,1.0,WB,1040
1040+2,1.0,1.0,1.0,1.0,1.0,1.0,WB,1040
1043,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1043
1044,0.0,1.0,1.0,0.0,1.0,1.0,WB,1044
1045a,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.0,0.8773388773388774,DESTA,908
1046,1.0,1.0,1.0,1.0,1.0,1.0,WB,1046
1047,1.0,1.0,1.0,0.0,1.0,1.0,WB,1047
1048,1.0,0.0,0.0,0.0,0.0,1.0,WB,1048
1049,1.0,1.0,1.0,1.0,1.0,1.0,WB,1049
105,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,105
1050a,0.0,1.0,1.0,0.0,1.0,1.0,WB,304
1051,1.0,0.0,1.0,0.0,0.0,0.0,WB,1051
1052,1.0,0.0,0.0,0.0,0.0,0.0,WB,1052
1053,1.0,1.0,1.0,1.0,1.0,1.0,WB,1053
1054a,0.0,1.0,1.0,1.0,1.0,1.0,WB,328
1055a,1.0,1.0,1.0,1.0,1.0,1.0,WB,874
1056,1.0,1.0,1.0,1.0,1.0,1.0,WB,1056
1057a,1.0,1.0,1.0,1.0,1.0,1.0,WB,877
1058,1.0,0.0,0.0,0.0,0.0,1.0,WB,1058
1059a,1.0,1.0,1.0,1.0,1.0,1.0,WB,848
106,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,106
1060a,1.0,1.0,1.0,1.0,1.0,0.0,WB-母协定,330
1061,1.0,0.0,0.0,0.0,1.0,0.0,WB,1061
1062,0.0,0.0,0.0,0.0,0.0,0.0,WB,1062
1062+1,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,1062
1062+2,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,1062
1063,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1063
1064,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1064
1065a,0.0,0.0,0.0,0.0,1.0,0.0,WB-母协定,165
1066,1.0,0.0,0.0,0.0,0.0,0.0,WB,1066
1067,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1067
1072,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1072
1073,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1073
1074a,0.0,0.0,0.0,0.0,1.0,1.0,WB-母协定,199
1075a,0.0,1.0,1.0,1.0,1.0,0.0,WB-母协定,161
1076,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1076
1078,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1078
1079a,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,464
1081,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1081
1083,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1083
1084,0.0,0.0,0.0,0.0,1.0,1.0,WB,1084
1085,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1085
1089,1.0,1.0,0.0,1.0,0.0,1.0,WB,1089
109,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,109
1092,1.0,1.0,1.0,1.0,1.0,1.0,WB,1092
1093a,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,DESTA,874
1095,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1095
1097,1.0,1.0,0.0,0.0,0.0,1.0,WB,1097
1098,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1098
1099,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1099
11,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,11
1100,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1100
1102,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1102
1106,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1106
1107,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1107
1108a,1.0,1.0,0.0,0.0,0.0,1.0,WB-母协定,224
1109a,1.0,1.0,1.0,0.0,1.0,1.0,WB-母协定,222
1110a,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,988
1112a,1.0,0.0,0.0,1.0,1.0,0.0,WB-母协定,855
1114a,1.0,1.0,1.0,0.0,1.0,1.0,WB-母协定,82
1117,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1117
1119,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1119
112,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,112
1121a,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,685
1126,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1126
1132,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1132
1133,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1133
1135,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1135
1139,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1139
114,0.0,0.0,0.0,0.0,1.0,0.0,WB,114
1142a,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,1095
115,0.8773388773388774,0.8773388773388774,0.0,0.0,0.0,0.0,DESTA,115
116,0.0,0.0,0.0,0.0,0.0,0.0,WB,116
117,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,117
118,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,118
119,0.7586206896551724,0.7586206896551724,0.0,0.0,0.7586206896551724,0.0,DESTA,119
12,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,12
120,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,120
121,0.7586206896551724,0.7586206896551724,0.0,0.0,0.0,0.0,DESTA,121
122,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,122
123,0.7586206896551724,0.7586206896551724,0.0,0.0,0.7586206896551724,0.0,DESTA,123
124,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.0,0.8773388773388774,DESTA,124
125,0.5079365079365079,0.5079365079365079,0.0,0.0,0.5079365079365079,0.0,DESTA,125
126,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,126
128,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,128
129,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,129
13,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,13
130,1.0,0.0,0.0,0.0,0.0,0.0,WB,130
131,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,131
132,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,132
133,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,133
134,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,134
135,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,135
136,1.0,0.0,0.0,1.0,1.0,1.0,WB,136
139,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,139
14,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,14
140,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,140
141,1.0,0.0,0.0,0.0,0.0,0.0,WB,141
143,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,143
144,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,144
145,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,145
146,0.0,1.0,1.0,0.0,1.0,1.0,WB,146
147,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,147
148,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,DESTA,148
148+1,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,DESTA,148
148+2,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,DESTA,148
149,0.8230088495575221,0.0,0.0,0.0,0.0,0.8230088495575221,DESTA,149
15,1.0,0.0,0.0,1.0,1.0,1.0,WB,15
150,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,150
151,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,151
152,0.8230088495575221,0.0,0.0,0.0,0.0,0.0,DESTA,152
153,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,153
154,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,154
155,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,155
156,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,156
157,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,157
158,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,158
159,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,159
16,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,16
16+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,16
16+2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,16
160,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,160
161,0.0,1.0,1.0,1.0,1.0,0.0,WB,161
162,1.0,1.0,1.0,1.0,1.0,0.0,WB,162
163,0.0,0.0,0.0,0.0,0.0,1.0,WB,163
164,1.0,0.0,0.0,1.0,1.0,0.0,WB,164
165,0.0,0.0,0.0,0.0,1.0,0.0,WB,165
166,1.0,0.0,0.0,0.0,1.0,0.0,WB,166
167,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,167
168,0.0,1.0,1.0,1.0,1.0,0.0,WB,168
169,0.0,0.8230088495575221,0.8230088495575221,0.0,0.0,0.0,DESTA,169
17,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,DESTA,17
17+1,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,DESTA,17
17+2,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,DESTA,17
17+3,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,DESTA,17
170,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,170
171,0.0,0.7586206896551724,0.0,0.0,0.0,0.0,DESTA,171
172,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,172
173,0.9222222222222223,0.9222222222222223,0.0,0.0,0.9222222222222223,0.0,DESTA,173
174,0.5079365079365079,0.0,0.5079365079365079,0.0,0.0,0.0,DESTA,174
175,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.0,0.0,0.5079365079365079,DESTA,175
176a,0.0,0.7586206896551724,0.7586206896551724,0.0,0.0,0.0,DESTA,171
177,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.0,0.8230088495575221,0.0,DESTA,177
178,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,178
18,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,18
180,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,180
181,1.0,1.0,1.0,1.0,1.0,1.0,WB,181
182,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,182
183,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,DESTA,183
184,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.9222222222222223,DESTA,184
185,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,DESTA,185
186,0.0,0.0,0.0,0.0,1.0,0.0,WB,186
186+1,1.0,1.0,1.0,0.0,0.0,0.0,WB,186
186+2,0.0,0.0,0.0,0.0,1.0,0.0,WB-母协定,186
187,1.0,1.0,1.0,1.0,1.0,1.0,WB,187
188,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.0,0.9222222222222223,DESTA,188
189,0.0,0.7586206896551724,0.0,0.0,0.0,0.0,DESTA,189
19,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,19
190,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,190
192,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,192
192+1,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,192
192+2,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,192
192+3,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,192
192+4,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,192
192+5,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,192
193a,1.0,1.0,1.0,1.0,1.0,1.0,WB,192
198,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,198
199,0.0,0.0,0.0,0.0,1.0,1.0,WB,199
2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,2
20,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,0.0,DESTA,20
200,0.7586206896551724,0.7586206896551724,0.0,0.0,0.0,0.0,DESTA,200
201,1.0,1.0,1.0,1.0,0.0,0.0,WB,201
202,1.0,1.0,1.0,1.0,0.0,1.0,WB,202
202+1,1.0,1.0,1.0,1.0,0.0,1.0,WB-母协定,202
202+2,1.0,1.0,1.0,1.0,0.0,1.0,WB-母协定,202
202+3,1.0,1.0,1.0,1.0,0.0,1.0,WB-母协定,202
203,0.8230088495575221,0.8230088495575221,0.0,0.0,0.0,0.0,DESTA,203
204,0.9222222222222223,0.9222222222222223,0.0,0.0,0.0,0.0,DESTA,204
205,0.0,1.0,1.0,1.0,0.0,1.0,WB,205
206,1.0,0.0,0.0,0.0,1.0,0.0,WB,206
207,0.0,1.0,1.0,1.0,1.0,1.0,WB,207
208,1.0,1.0,1.0,1.0,1.0,1.0,WB,208
209,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,DESTA,209
210a,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,DESTA,209
211,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,DESTA,211
212,1.0,1.0,1.0,1.0,1.0,1.0,WB,212
213,1.0,0.0,1.0,0.0,0.0,1.0,WB,213
215,0.8230088495575221,0.8230088495575221,0.0,0.0,0.0,0.0,DESTA,215
216,1.0,0.0,0.0,0.0,1.0,1.0,WB,216
217,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,217
218,1.0,1.0,1.0,1.0,1.0,1.0,WB,218
219,0.8230088495575221,0.8230088495575221,0.0,0.0,0.0,0.0,DESTA,219
22,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,22
220,0.0,0.0,1.0,0.0,0.0,0.0,WB,220
221,1.0,1.0,1.0,0.0,0.0,1.0,WB,221
222,1.0,1.0,1.0,0.0,1.0,1.0,WB,222
223,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,223
224,1.0,1.0,0.0,0.0,0.0,1.0,WB,224
225a,1.0,1.0,0.0,0.0,0.0,1.0,WB-母协定,224
