WBID,standards,investments,services,procurement,competition,iprs,matched
1,1,1,1,0,1,1,True
2,1,1,1,1,1,1,True
3,0,0,0,0,1,0,True
4,0,1,1,0,1,1,False
5,1,1,1,1,1,1,True
6,0,0,0,0,0,0,True
7,0,0,0,0,0,0,True
8,0,0,0,0,0,0,True
9,0,1,1,0,1,0,False
10,0,1,1,0,0,0,True
11,0,0,0,0,0,0,True
12,0,0,0,0,0,0,True
13,1,1,1,1,1,1,True
14,0,0,0,0,0,0,False
15,0,0,0,0,0,0,True
16,1,0,1,0,1,0,False
17,1,1,0,1,1,1,True
18,1,1,1,1,1,1,True
19,0,0,0,0,0,0,True
20,0,0,0,0,1,0,True
21,1,1,1,1,1,1,True
22,0,0,0,0,0,0,True
23,0,0,0,1,1,1,True
24,0,0,0,0,0,0,True
25,0,0,0,0,0,0,False
26,0,0,0,1,1,1,True
27,1,1,1,1,1,1,True
28,1,1,1,1,1,1,True
29,1,1,0,0,1,0,True
30,1,0,0,0,1,1,True
31,0,1,0,1,1,0,True
32,0,0,0,0,0,0,True
33,0,0,0,0,1,0,True
34,0,0,0,0,1,0,True
35,0,0,0,0,0,0,True
36,0,1,0,0,1,1,True
37,0,1,1,1,1,0,True
38,0,0,0,0,0,0,True
39,0,1,1,0,1,0,True
40,0,1,0,0,1,1,True
41,0,1,1,0,1,0,False
42,0,0,0,0,1,0,True
43,0,0,0,0,1,0,True
44,0,0,0,0,1,0,True
45,1,1,0,1,1,0,False
46,0,0,0,0,1,0,True
47,0,1,0,0,0,0,True
48,0,1,0,0,1,0,False
49,0,0,0,0,0,0,True
50,0,1,0,0,1,0,False
51,0,1,0,0,1,1,True
52,1,1,1,1,1,0,True
53,0,1,0,1,1,1,True
54,1,1,0,0,1,0,False
55,0,1,0,0,1,1,True
56,0,1,0,0,1,1,True
57,0,1,0,0,1,1,True
58,0,0,0,0,1,0,True
59,1,0,0,1,1,0,True
60,0,0,0,0,1,0,True
61,0,0,0,0,1,0,True
62,0,0,0,0,1,0,True
63,0,0,0,0,1,0,True
64,0,0,0,0,1,0,True
65,0,0,0,0,1,0,True
66,0,0,0,1,0,0,True
67,1,1,1,1,1,1,True
68,0,1,1,1,0,0,True
69,1,1,1,1,1,1,True
70,0,1,0,1,1,1,True
71,0,0,1,0,0,1,True
