ISO3,year,kaopen,ka_open,P_ka,P_strat,P_manuf,P_total,P_select,P_screen,P_interp
.,2006,,,,,,,,,
.,2007,,,,,,,,,
.,2008,,,,,,,,,
.,2009,,,,,,,,,
.,2010,,,,,,,,,
.,2011,,,,,,,,,
.,2012,,,,,,,,,
.,2013,,,,,,,,,
.,2014,,,,,,,,,
.,2015,,,,,,,,,
.,2016,,,,,,,,,
.,2017,,,,,,,,,
.,2018,,,,,,,,,
.,2019,,,,,,,,,
.,2020,,,,,,,,,
.,2021,,,,,,,,,
.,2022,,,,,,,,,
.,2023,,,,,,,,,
ABW,1970,,,,,,,,,
ABW,1971,,,,,,,,,
ABW,1972,,,,,,,,,
ABW,1973,,,,,,,,,
ABW,1974,,,,,,,,,
ABW,1975,,,,,,,,,
ABW,1976,,,,,,,,,
ABW,1977,,,,,,,,,
ABW,1978,,,,,,,,,
ABW,1979,,,,,,,,,
ABW,1980,,,,,,,,,
ABW,1981,,,,,,,,,
ABW,1982,,,,,,,,,
ABW,1983,,,,,,,,,
ABW,1984,,,,,,,,,
ABW,1985,,,,,,,,,
ABW,1986,,,,,,,,,
ABW,1987,,,,,,,,,
ABW,1988,,,,,,,,,
ABW,1989,,,,,,,,,
ABW,1990,,,,,,,,,
ABW,1991,,,,,,,,,
ABW,1992,-0.17476626,0.41813296,0.58186704,,,,,,
ABW,1993,-0.17476626,0.41813296,0.58186704,,,,,,
ABW,1994,-0.17476626,0.41813296,0.58186704,,,,,,
ABW,1995,-0.17476626,0.41813296,0.58186704,,,,,,
ABW,1996,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,1997,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,1998,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,1999,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2000,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2001,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2002,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2003,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2004,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2005,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2006,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2007,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2008,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2009,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2010,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2011,-1.2538762,0.16243199,0.83756804,,,,,,
ABW,2012,-1.2538762,0.16243199,0.83756804,,,,,,
