ISO3,S_sd,S_jump,D_rise,D_1990,D_2020
ABW,-0.0,,0.0,4.0,4.0
AFG,-0.17668469596940847,0.0,1.0,0.0,1.0
AGO,-0.6558575992866776,0.4787057522123894,4.299643281807372,0.7586206896551724,3.0
AIA,-0.0,,0.0,4.0,4.0
ALB,-0.6211621917936496,0.49769024336234313,6.0,0.0,6.0
AND,-0.0,,0.0,0.0,0.0
ARE,-0.5661645474778622,0.5846560846560847,6.0,0.0,6.0
ARG,-0.7936788723705172,0.0,4.492063492063492,1.507936507936508,6.0
ARM,-0.7795513531351338,0.5714285714285714,7.0,0.0,6.0
ATG,-0.2818881506030425,0.40111453475081427,2.492063492063492,3.507936507936508,6.0
AUS,-0.6380528449164203,0.062835620447653,3.853331573664151,2.146668426335849,6.0
AUT,-0.0,,0.0,6.0,6.0
AZE,-0.46810651361358807,0.5517241379310345,5.0,0.0,5.0
BDI,-0.26402254983279244,0.1399999999999999,1.724137931034483,2.275862068965517,4.0
BEL,-0.0,,0.0,6.0,6.0
BEN,-0.42766724028425973,0.5,4.0,0.0,4.0
BFA,-0.42766724028425973,0.5,4.0,0.0,4.0
BGD,-0.10960141809984388,0.4605348146234337,0.941555677187861,2.0,2.941555677187861
BGR,-0.8547126721171924,0.19753839894212188,6.0,0.0,6.0
BHR,-0.6793519117984333,0.5,6.0,0.0,6.0
BHS,-0.29729051514634536,0.5023764914183824,3.0,3.0,6.0
BIH,-0.5359747786569004,0.5624688378690628,6.0,0.0,6.0
BLR,-0.5913000896717213,0.5,6.0,0.0,6.0
BLZ,-0.29729051514634536,0.5023764914183824,3.0,3.0,6.0
BMU,-0.0,,0.0,4.0,4.0
BOL,-0.5092584326093466,0.34894420849004526,4.241379310344827,1.7586206896551724,6.0
BRA,-0.9703635683399259,0.0,5.492063492063492,0.5079365079365079,6.0
BRB,-0.29729051514634536,0.5023764914183824,3.0,3.0,6.0
BRN,-0.6793519117984333,0.5,6.0,0.0,6.0
BTN,-0.0,,0.0,0.0,0.0
BWA,-0.4241265631888709,0.507457898957498,4.118773946360154,0.8812260536398467,5.0
CAF,-0.16023203883078901,0.488372093023256,1.4827586206896552,1.5172413793103448,3.0
CAN,-0.7692820390880437,0.0,4.353982300884956,1.646017699115044,6.0
CHE,-0.0,,0.0,6.0,6.0
CHL,-0.31793585253348944,0.7488719312669199,4.482758620689655,1.5172413793103448,6.0
CHN,-0.7370103005674751,0.33333333333333337,6.0,0.0,6.0
CIV,-0.427512212523371,0.5,4.0,0.0,4.0
CMR,-0.16023203883078901,0.488372093023256,1.4827586206896552,1.5172413793103448,3.0
COD,-0.26402254983279244,0.1399999999999999,1.724137931034483,2.275862068965517,4.0
COG,-0.16023203883078901,0.488372093023256,1.4827586206896552,1.5172413793103448,3.0
COK,-0.5553103392034404,0.44522968197879853,4.492063492063492,0.5079365079365079,5.0
COL,-0.6009189893468241,0.2220353238015138,4.241379310344827,1.7586206896551724,6.0
COM,-0.42823194548125654,0.3085106382978724,3.2413793103448274,0.7586206896551724,4.0
CPV,-0.3743142866797759,0.33333333333333337,3.0,0.0,3.0
CRI,-0.6912517847578596,0.07777777777777772,4.241379310344827,1.7586206896551724,6.0
CUB,-0.5573598953982444,0.005780074352619402,3.1734645949801847,0.0,3.1734645949801847
CYM,-0.0,,0.0,4.0,4.0
CYP,-0.904010561417019,0.023460875907285628,5.242126480221718,0.7578735197782817,6.0
CZE,-0.6500310864708306,0.44249321469339786,6.0,0.0,6.0
DEU,-0.0,,0.0,6.0,6.0
