year,S_sd_10,D_rise_10,S_jump_10,ISO3
1948,,,,ABW
1949,,,,ABW
1950,,,,ABW
1951,,,,ABW
1952,,,,ABW
1953,,,,ABW
1954,,,,ABW
1955,,,,ABW
1956,-0.0,0.0,,ABW
1957,-0.0,0.0,,ABW
1958,-0.0,0.0,,ABW
1959,-0.0,0.0,,ABW
1960,-0.0,0.0,,ABW
1961,-0.0,0.0,,ABW
1962,-0.0,0.0,,ABW
1963,-0.0,0.0,,ABW
1964,-0.0,0.0,,ABW
1965,-0.0,0.0,,ABW
1966,-0.0,0.0,,ABW
1967,-0.0,0.0,,ABW
1968,-0.0,0.0,,ABW
1969,-0.0,0.0,,ABW
1970,-0.0,0.0,,ABW
1971,-1.2,4.0,0.0,ABW
1972,-1.2,4.0,0.0,ABW
1973,-1.2,4.0,0.0,ABW
1974,-1.2,4.0,0.0,ABW
1975,-1.2,4.0,0.0,ABW
1976,-1.2,4.0,0.0,ABW
1977,-1.2,4.0,0.0,ABW
1978,-1.2,4.0,0.0,ABW
1979,-1.2,4.0,0.0,ABW
1980,-1.2,4.0,0.0,ABW
1981,-0.0,0.0,,ABW
1982,-0.0,0.0,,ABW
1983,-0.0,0.0,,ABW
1984,-0.0,0.0,,ABW
1985,-0.0,0.0,,ABW
1986,-0.0,0.0,,ABW
1987,-0.0,0.0,,ABW
1988,-0.0,0.0,,ABW
1989,-0.0,0.0,,ABW
1990,-0.0,0.0,,ABW
1991,-0.0,0.0,,ABW
1992,-0.0,0.0,,ABW
1993,-0.0,0.0,,ABW
1994,-0.0,0.0,,ABW
1995,-0.0,0.0,,ABW
1996,-0.0,0.0,,ABW
1997,-0.0,0.0,,ABW
1998,-0.0,0.0,,ABW
1999,-0.0,0.0,,ABW
2000,-0.0,0.0,,ABW
2001,-0.0,0.0,,ABW
2002,-0.0,0.0,,ABW
2003,-0.0,0.0,,ABW
2004,-0.0,0.0,,ABW
2005,-0.0,0.0,,ABW
2006,-0.0,0.0,,ABW
2007,-0.0,0.0,,ABW
2008,-0.0,0.0,,ABW
2009,-0.0,0.0,,ABW
2010,-0.0,0.0,,ABW
2011,-0.0,0.0,,ABW
2012,-0.0,0.0,,ABW
2013,-0.0,0.0,,ABW
2014,-0.0,0.0,,ABW
2015,-0.0,0.0,,ABW
2016,-0.0,0.0,,ABW
2017,-0.0,0.0,,ABW
2018,-0.0,0.0,,ABW
2019,-0.0,0.0,,ABW
2020,-0.0,0.0,,ABW
2021,-0.0,0.0,,ABW
2022,-0.0,0.0,,ABW
2023,-0.0,0.0,,ABW
1948,,,,AFG
1949,,,,AFG
1950,,,,AFG
1951,,,,AFG
1952,,,,AFG
1953,,,,AFG
1954,,,,AFG
1955,,,,AFG
1956,-0.0,0.0,,AFG
1957,-0.0,0.0,,AFG
1958,-0.0,0.0,,AFG
1959,-0.0,0.0,,AFG
1960,-0.0,0.0,,AFG
1961,-0.0,0.0,,AFG
1962,-0.0,0.0,,AFG
1963,-0.0,0.0,,AFG
1964,-0.0,0.0,,AFG
1965,-0.0,0.0,,AFG
1966,-0.0,0.0,,AFG
1967,-0.0,0.0,,AFG
1968,-0.0,0.0,,AFG
1969,-0.0,0.0,,AFG
1970,-0.0,0.0,,AFG
1971,-0.0,0.0,,AFG
1972,-0.0,0.0,,AFG
1973,-0.0,0.0,,AFG
1974,-0.0,0.0,,AFG
1975,-0.0,0.0,,AFG
1976,-0.0,0.0,,AFG
1977,-0.0,0.0,,AFG
1978,-0.0,0.0,,AFG
1979,-0.0,0.0,,AFG
1980,-0.0,0.0,,AFG
1981,-0.0,0.0,,AFG
1982,-0.0,0.0,,AFG
1983,-0.0,0.0,,AFG
1984,-0.0,0.0,,AFG
1985,-0.0,0.0,,AFG
1986,-0.0,0.0,,AFG
1987,-0.0,0.0,,AFG
1988,-0.0,0.0,,AFG
1989,-0.0,0.0,,AFG
1990,-0.0,0.0,,AFG
1991,-0.0,0.0,,AFG
1992,-0.0,0.0,,AFG
1993,-0.0,0.0,,AFG
1994,-0.0,0.0,,AFG
1995,-0.0,0.0,,AFG
1996,-0.0,0.0,,AFG
1997,-0.0,0.0,,AFG
1998,-0.0,0.0,,AFG
1999,-0.0,0.0,,AFG
2000,-0.0,0.0,,AFG
2001,-0.0,0.0,,AFG
2002,-0.0,0.0,,AFG
2003,-0.3,1.0,0.0,AFG
2004,-0.3,1.0,0.0,AFG
2005,-0.3,1.0,0.0,AFG
2006,-0.3,1.0,0.0,AFG
2007,-0.3,1.0,0.0,AFG
2008,-0.3,1.0,0.0,AFG
2009,-0.3,1.0,0.0,AFG
2010,-0.3,1.0,0.0,AFG
2011,-0.3,1.0,0.0,AFG
2012,-0.3,1.0,0.0,AFG
2013,-0.0,0.0,,AFG
2014,-0.0,0.0,,AFG
2015,-0.0,0.0,,AFG
2016,-0.0,0.0,,AFG
2017,-0.0,0.0,,AFG
2018,-0.0,0.0,,AFG
2019,-0.0,0.0,,AFG
2020,-0.0,0.0,,AFG
2021,-0.0,0.0,,AFG
2022,-0.0,0.0,,AFG
2023,-0.0,0.0,,AFG
1948,,,,AGO
1949,,,,AGO
1950,,,,AGO
1951,,,,AGO
1952,,,,AGO
1953,,,,AGO
1954,,,,AGO
1955,,,,AGO
1956,-0.0,0.0,,AGO
1957,-0.0,0.0,,AGO
1958,-0.0,0.0,,AGO
1959,-0.0,0.0,,AGO
1960,-0.0,0.0,,AGO
1961,-0.0,0.0,,AGO
1962,-0.0,0.0,,AGO
1963,-0.0,0.0,,AGO
1964,-0.0,0.0,,AGO
1965,-0.0,0.0,,AGO
1966,-0.0,0.0,,AGO
1967,-0.0,0.0,,AGO
1968,-0.0,0.0,,AGO
1969,-0.0,0.0,,AGO
1970,-0.0,0.0,,AGO
1971,-0.0,0.0,,AGO
1972,-0.0,0.0,,AGO
1973,-0.0,0.0,,AGO
1974,-0.0,0.0,,AGO
1975,-0.0,0.0,,AGO
1976,-0.0,0.0,,AGO
1977,-0.0,0.0,,AGO
1978,-0.0,0.0,,AGO
1979,-0.0,0.0,,AGO
1980,-0.0,0.0,,AGO
1981,-0.0,0.0,,AGO
1982,-0.2275862068965517,0.7586206896551724,0.0,AGO
1983,-0.2275862068965517,0.7586206896551724,0.0,AGO
1984,-0.2275862068965517,0.7586206896551724,0.0,AGO
1985,-0.2275862068965517,0.7586206896551724,0.0,AGO
1986,-0.2275862068965517,0.7586206896551724,0.0,AGO
1987,-0.2275862068965517,0.7586206896551724,0.0,AGO
1988,-0.2275862068965517,0.7586206896551724,0.0,AGO
1989,-0.2275862068965517,0.7586206896551724,0.0,AGO
1990,-0.2275862068965517,0.7586206896551724,0.0,AGO
1991,-0.2275862068965517,0.7586206896551724,0.0,AGO
1992,-0.0,0.0,,AGO
1993,-0.0,0.0,,AGO
1994,-0.6724137931034483,2.2413793103448274,0.0,AGO
1995,-0.6724137931034483,2.2413793103448274,0.0,AGO
1996,-0.6724137931034483,2.2413793103448274,0.0,AGO
1997,-0.6724137931034483,2.2413793103448274,0.0,AGO
1998,-0.6724137931034483,2.2413793103448274,0.0,AGO
1999,-0.6724137931034483,2.2413793103448274,0.0,AGO
2000,-0.6724137931034483,2.2413793103448274,0.0,AGO
2001,-0.6724137931034483,2.2413793103448274,0.0,AGO
2002,-0.6724137931034483,2.2413793103448274,0.0,AGO
2003,-0.6724137931034483,2.2413793103448274,0.0,AGO
2004,-0.0,0.0,,AGO
2005,-0.0,0.0,,AGO
2006,-0.0,0.0,,AGO
2007,-0.6174791914387633,0.0,,AGO
2008,-0.6174791914387633,0.0,,AGO
2009,-0.6174791914387633,0.0,,AGO
2010,-0.6174791914387633,0.0,,AGO
2011,-0.6174791914387633,0.0,,AGO
2012,-0.6174791914387633,0.0,,AGO
2013,-0.6174791914387633,0.0,,AGO
2014,-0.6174791914387633,0.0,,AGO
2015,-0.6174791914387633,0.0,,AGO
2016,-0.6174791914387633,0.0,,AGO
2017,-0.0,0.0,,AGO
2018,-0.0,0.0,,AGO
2019,-0.0,0.0,,AGO
2020,-0.6174791914387633,2.0582639714625444,0.0,AGO
2021,-0.6174791914387633,2.0582639714625444,0.0,AGO
2022,-0.6174791914387633,2.0582639714625444,0.0,AGO
2023,-0.6174791914387633,2.0582639714625444,0.0,AGO
1948,,,,AIA
1949,,,,AIA
1950,,,,AIA
1951,,,,AIA
1952,,,,AIA
1953,,,,AIA
1954,,,,AIA
1955,,,,AIA
1956,-0.0,0.0,,AIA
1957,-0.0,0.0,,AIA
1958,-0.0,0.0,,AIA
1959,-0.0,0.0,,AIA
1960,-0.0,0.0,,AIA
1961,-0.0,0.0,,AIA
1962,-0.0,0.0,,AIA
1963,-0.0,0.0,,AIA
1964,-0.0,0.0,,AIA
1965,-0.0,0.0,,AIA
1966,-0.0,0.0,,AIA
1967,-0.0,0.0,,AIA
1968,-0.0,0.0,,AIA
1969,-0.0,0.0,,AIA
1970,-0.0,0.0,,AIA
