ISO3,year,D,S_only,N_only,both,D_S,D_N,uS_standards,uS_investments,uS_services,uS_procurement,uS_competition,uS_iprs,uN_standards,uN_investments,uN_services,uN_procurement,uN_competition,uN_iprs
AFG,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2003,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2004,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2005,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2006,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2007,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2008,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2009,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2010,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2011,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2012,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2013,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2014,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2015,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2016,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2017,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2018,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2019,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2020,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2021,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2022,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,2023,0.999999999999,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1990,0.7586206896551724,0.7586206896551724,0.0,0.0,0.7586206896551724,0.0,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1991,0.7586206896551724,0.7586206896551724,0.0,0.0,0.7586206896551724,0.0,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1992,0.7586206896551724,0.7586206896551724,0.0,0.0,0.7586206896551724,0.0,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1993,0.7586206896551724,0.7586206896551724,0.0,0.0,0.7586206896551724,0.0,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1994,2.9999999999979416,2.9999999999979416,0.0,0.0,2.9999999999979416,0.0,0.9999999999999417,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1995,2.9999999999979416,2.9999999999979416,0.0,0.0,2.9999999999979416,0.0,0.9999999999999417,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1996,2.9999999999979416,2.9999999999979416,0.0,0.0,2.9999999999979416,0.0,0.9999999999999417,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1997,2.9999999999979416,2.9999999999979416,0.0,0.0,2.9999999999979416,0.0,0.9999999999999417,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1998,2.9999999999979416,2.9999999999979416,0.0,0.0,2.9999999999979416,0.0,0.9999999999999417,0.999999999999,0.0,0.0,0.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO,1999,3.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
