ISO3,year,D_bb_le,D_bb_ac,D_all_le,D_max_bb,n_pta
ABW,1958,0,0,0,0,0
ABW,1959,0,0,0,0,0
ABW,1960,0,0,0,0,0
ABW,1961,0,0,0,0,0
ABW,1962,0,0,0,0,0
ABW,1963,0,0,0,0,0
ABW,1964,0,0,0,0,0
ABW,1965,0,0,0,0,0
ABW,1966,0,0,0,0,0
ABW,1967,0,0,0,0,0
ABW,1968,0,0,0,0,0
ABW,1969,0,0,0,0,0
ABW,1970,0,0,0,0,0
ABW,1971,7,8,10,7,1
ABW,1972,7,8,10,7,1
ABW,1973,7,8,10,7,1
ABW,1974,7,8,10,7,1
ABW,1975,7,8,10,7,1
ABW,1976,7,8,10,7,1
ABW,1977,7,8,10,7,1
ABW,1978,7,8,10,7,1
ABW,1979,7,8,10,7,1
ABW,1980,7,8,10,7,1
ABW,1981,7,8,10,7,1
ABW,1982,7,8,10,7,1
ABW,1983,7,8,10,7,1
ABW,1984,7,8,10,7,1
ABW,1985,7,8,10,7,1
ABW,1986,7,8,10,7,1
ABW,1987,7,8,10,7,1
ABW,1988,7,8,10,7,1
ABW,1989,7,8,10,7,1
ABW,1990,7,8,10,7,1
ABW,1991,7,8,10,7,1
ABW,1992,7,8,10,7,1
ABW,1993,7,8,10,7,1
ABW,1994,7,8,10,7,1
ABW,1995,7,8,10,7,1
ABW,1996,7,8,10,7,1
ABW,1997,7,8,10,7,1
ABW,1998,7,8,10,7,1
ABW,1999,7,8,10,7,1
ABW,2000,7,8,10,7,1
ABW,2001,7,8,10,7,1
ABW,2002,7,8,10,7,1
ABW,2003,7,8,10,7,1
ABW,2004,7,8,10,7,1
ABW,2005,7,8,10,7,1
ABW,2006,7,8,10,7,1
ABW,2007,7,8,10,7,1
ABW,2008,7,8,10,7,1
ABW,2009,7,8,10,7,1
ABW,2010,7,8,10,7,1
ABW,2011,7,8,10,7,1
ABW,2012,7,8,10,7,1
ABW,2013,7,8,10,7,1
ABW,2014,7,8,10,7,1
ABW,2015,7,8,10,7,1
ABW,2016,7,8,10,7,1
ABW,2017,7,8,10,7,1
ABW,2018,7,8,10,7,1
ABW,2019,7,8,10,7,1
ABW,2020,7,8,10,7,1
ABW,2021,7,8,10,7,1
ABW,2022,7,8,10,7,1
ABW,2023,7,8,10,7,1
AFG,1958,0,0,0,0,0
AFG,1959,0,0,0,0,0
AFG,1960,0,0,0,0,0
AFG,1961,0,0,0,0,0
AFG,1962,0,0,0,0,0
AFG,1963,0,0,0,0,0
AFG,1964,0,0,0,0,0
AFG,1965,0,0,0,0,0
AFG,1966,0,0,0,0,0
AFG,1967,0,0,0,0,0
AFG,1968,0,0,0,0,0
AFG,1969,0,0,0,0,0
AFG,1970,0,0,0,0,0
AFG,1971,0,0,0,0,0
AFG,1972,0,0,0,0,0
AFG,1973,0,0,0,0,0
AFG,1974,0,0,0,0,0
AFG,1975,0,0,0,0,0
AFG,1976,0,0,0,0,0
AFG,1977,0,0,0,0,0
AFG,1978,0,0,0,0,0
AFG,1979,0,0,0,0,0
AFG,1980,0,0,0,0,0
AFG,1981,0,0,0,0,0
AFG,1982,0,0,0,0,0
AFG,1983,0,0,0,0,0
AFG,1984,0,0,0,0,0
AFG,1985,0,0,0,0,0
AFG,1986,0,0,0,0,0
AFG,1987,0,0,0,0,0
AFG,1988,0,0,0,0,0
AFG,1989,0,0,0,0,0
AFG,1990,0,0,0,0,0
AFG,1991,0,0,0,0,0
AFG,1992,0,0,0,0,0
AFG,1993,0,0,0,0,0
AFG,1994,0,0,0,0,0
AFG,1995,0,0,0,0,0
AFG,1996,0,0,0,0,0
AFG,1997,0,0,0,0,0
AFG,1998,0,0,0,0,0
AFG,1999,0,0,0,0,0
AFG,2000,0,0,0,0,0
AFG,2001,0,0,0,0,0
AFG,2002,0,0,0,0,0
AFG,2003,1,1,3,1,1
AFG,2004,1,1,3,1,1
AFG,2005,1,1,3,1,1
AFG,2006,1,1,3,1,1
AFG,2007,1,1,3,1,1
AFG,2008,1,1,3,1,1
AFG,2009,1,1,3,1,1
AFG,2010,1,1,3,1,1
AFG,2011,1,2,3,1,3
AFG,2012,1,2,3,1,3
AFG,2013,1,2,3,1,3
AFG,2014,1,2,3,1,3
AFG,2015,1,2,3,1,3
AFG,2016,1,2,3,1,3
AFG,2017,1,2,3,1,3
AFG,2018,1,2,3,1,3
AFG,2019,1,2,3,1,3
AFG,2020,1,2,3,1,3
AFG,2021,1,2,3,1,3
AFG,2022,1,2,3,1,3
AFG,2023,1,2,3,1,3
AGO,1958,0,0,0,0,0
AGO,1959,0,0,0,0,0
AGO,1960,0,0,0,0,0
AGO,1961,0,0,0,0,0
AGO,1962,0,0,0,0,0
AGO,1963,0,0,0,0,0
AGO,1964,0,0,0,0,0
AGO,1965,0,0,0,0,0
AGO,1966,0,0,0,0,0
AGO,1967,0,0,0,0,0
AGO,1968,0,0,0,0,0
AGO,1969,0,0,0,0,0
AGO,1970,0,0,0,0,0
AGO,1971,0,0,0,0,0
AGO,1972,0,0,0,0,0
AGO,1973,0,0,0,0,0
AGO,1974,0,0,0,0,0
AGO,1975,0,0,0,0,0
AGO,1976,0,0,0,0,0
AGO,1977,0,0,0,0,0
AGO,1978,0,0,0,0,0
AGO,1979,0,0,0,0,0
AGO,1980,0,0,0,0,0
AGO,1981,0,0,0,0,0
AGO,1982,0,0,0,0,0
AGO,1983,0,0,0,0,0
AGO,1984,0,0,0,0,0
AGO,1985,0,0,0,0,0
AGO,1986,0,0,0,0,0
AGO,1987,0,0,0,0,0
AGO,1988,0,0,0,0,0
AGO,1989,0,0,0,0,0
AGO,1990,0,0,0,0,0
AGO,1991,0,0,0,0,0
