agreement,cover_rows,rows_without_eia_flag,is_eia
eu,19654,0,True
afta,1554,246,False
aftas,1152,0,True
asean,1260,18,False
aftajpn,140,80,False
aftakors,40,18,False
aseankor,280,0,True
armkaz,46,28,False
armkgz,58,40,False
armmda,58,58,False
armrus,62,44,False
armtkm,56,56,False
armukr,56,56,False
cancri,44,44,False
canjor,24,24,False
canisr,54,54,False
cefta,1588,1530,False
cerg,12,12,False
cers,70,0,True
cez,240,186,False
chlchng,8,8,False
chlchns,28,0,True
cis1,530,512,False
cis2,618,414,False
eualbg,162,162,False
eualbs,856,0,True
euesag,3036,3036,False
euoct,41030,41030,False
euche,3696,2284,False
euchlg,80,80,False
euchls,1068,0,True
eucmr,574,574,False
eudza,1068,1068,False
euegy,1118,1118,False
eufro,1328,1328,False
eumkdg,90,90,False
eumkds,1118,0,True
euisl,1848,436,False
euisr,1238,1238,False
eujor,1178,1178,False
eulbn,1148,1148,False
eumar,1238,1238,False
eumex,1238,0,True
eumneg,112,112,False
eumnes,800,0,True
eunor,1848,436,False
eupngfji,2280,2280,False
eupse,1328,1328,False
eusrbg,168,168,False
eusrbs,632,0,True
eusyr,1776,1776,False
eutun,1298,1298,False
euzaf,1238,1238,False
eftag,1380,1308,False
eftas,264,0,True
eftaalb,112,112,False
eftacan,120,120,False
eftaegyg,136,136,False
eftamkdg,176,176,False
eftaisrg,260,260,False
eftajorg,176,176,False
eftalbng,136,136,False
eftamarg,200,200,False
eftaper,104,104,False
eftapseg,200,200,False
sacu,400,400,False
eftasacu,640,640,False
eftasrb,112,112,False
eftatung,152,152,False
eftaturg,258,250,False
eftamneg,96,96,False
eftaukr,96,0,True
egytur,34,34,False
froche,58,58,False
fronor,62,62,False
geoarm,52,52,False
geoaze,56,14,False
geokaz,50,50,False
georus,60,60,False
geotkm,48,48,False
geoukr,56,14,False
indbtn,36,36,False
indlka,48,26,False
isrmex,48,48,False
isrtur,54,54,False
kgzkaz,58,40,False
kgzmda,56,56,False
kgzrus,62,44,False
kgzukr,52,52,False
kgzuzb,52,52,False
pafta,7582,7582,False
pakchng,4,4,False
pakchns,30,0,True
paklka,38,38,False
patcra,94,94,False
picta,2772,2630,False
sadc,3566,3566,False
safta,938,872,False
ruskaz,62,44,False
rusblr,62,44,False
rusaze,62,62,False
rusmda,62,62,False
rustjk,62,62,False
rustkm,62,62,False
rusuzb,62,62,False
russrb,36,36,False
turalb,32,32,False
turbihg,36,36,False
