ISO3,year,agreement
ABW,1986,euoct
ABW,1987,euoct
ABW,1988,euoct
ABW,1989,euoct
ABW,1990,euoct
ABW,1991,euoct
ABW,1992,euoct
ABW,1993,euoct
ABW,1994,euoct
ABW,1995,euoct
ABW,1996,euoct
ABW,1997,euoct
ABW,1998,euoct
ABW,1999,euoct
ABW,2000,euoct
ABW,2001,euoct
ABW,2002,euoct
ABW,2003,euoct
ABW,2004,euoct
ABW,2005,euoct
ABW,2006,euoct
ABW,2007,euoct
ABW,2008,euoct
ABW,2009,euoct
ABW,2010,euoct
ABW,2011,euoct
ABW,2012,euoct
ABW,2013,euoct
ABW,2014,euoct
ABW,2015,euoct
ABW,2016,euoct
ABW,2017,euoct
ABW,2018,euoct
ABW,2019,euoct
ABW,2020,euoct
ABW,2021,euoct
ABW,2022,euoct
ABW,2023,euoct
AFG,1992,eco
AFG,1993,eco
AFG,1994,eco
AFG,1995,eco
AFG,1996,eco
AFG,1997,eco
AFG,1998,eco
AFG,1999,eco
AFG,2000,eco
AFG,2001,eco
AFG,2002,eco
AFG,2003,eco
AFG,2003,indafg
AFG,2004,eco
AFG,2004,indafg
AFG,2005,eco
AFG,2005,indafg
AFG,2006,eco
AFG,2006,indafg
AFG,2007,eco
AFG,2007,indafg
AFG,2008,eco
AFG,2008,indafg
AFG,2009,eco
AFG,2009,indafg
AFG,2010,eco
AFG,2010,indafg
AFG,2011,safta
AFG,2011,eco
AFG,2011,indafg
AFG,2012,safta
AFG,2012,eco
AFG,2012,indafg
AFG,2013,safta
AFG,2013,eco
AFG,2013,indafg
AFG,2014,safta
AFG,2014,eco
AFG,2014,indafg
AFG,2015,safta
AFG,2015,eco
AFG,2015,indafg
AFG,2016,safta
AFG,2016,eco
AFG,2016,indafg
AFG,2017,safta
AFG,2017,eco
AFG,2017,indafg
AFG,2018,safta
AFG,2018,eco
AFG,2018,indafg
AFG,2019,safta
AFG,2019,eco
AFG,2019,indafg
AFG,2020,safta
AFG,2020,eco
AFG,2020,indafg
AFG,2021,safta
AFG,2021,eco
AFG,2021,indafg
AFG,2022,safta
AFG,2022,eco
AFG,2022,indafg
AFG,2023,safta
AFG,2023,eco
AFG,2023,indafg
AGO,1994,comesa
AGO,1995,comesa
AGO,1996,comesa
AGO,1997,comesa
AGO,1998,comesa
AGO,1999,comesa
AGO,2000,comesa
AGO,2001,comesa
AGO,2002,comesa
AGO,2003,comesa
AGO,2004,comesa
AGO,2005,comesa
AGO,2006,comesa
AGO,2007,comesa
AIA,1982,euoct
AIA,1983,euoct
AIA,1984,euoct
AIA,1985,euoct
AIA,1986,euoct
AIA,1987,euoct
