ISO3,year,gP,gN,gS,gP_noCN,sCN
AFG,1991,0.009643696815176652,0.012391923977700607,-0.0027482271625239507,0.00925652341163832,0.00432640999993298
AFG,1992,0.03192671325392115,0.006179734130376961,0.025746979123544192,0.031096938280484782,0.006208432448427064
AFG,1993,0.03347056132914088,0.001222714291947321,0.032247847037193564,0.03242424256614349,0.008048121758572929
AFG,1994,-0.0033608127546504813,0.006050993461951783,-0.009411806216602273,-0.004297808429618269,0.007521830465694556
AFG,1995,0.014350031624326272,0.005569365223673887,0.008780666400652386,0.008991891250811065,0.052805448701606014
AFG,1996,0.017967731062543735,0.004566202731228171,0.013401528331315565,0.010320462483529105,0.0830184507879951
AFG,1997,0.03744493770308566,0.010220207891382416,0.027224729811703235,0.029104241473779248,0.0909888954100145
AFG,1998,0.019672879322129116,0.009418608599665533,0.010254270722463583,0.016248200710627023,0.04434311588528208
AFG,1999,0.03815090285666556,0.013524638157122126,0.024626264699543432,0.03737564206368828,0.0108137807096631
AFG,2000,0.046770158683966126,0.016138603804745674,0.030631554879220445,0.04602250784933617,0.008859745685361867
AFG,2001,0.03386293327798317,0.004159107243630765,0.029703826034352405,0.0325744976139821,0.016557247051850906
AFG,2002,0.03386259895661092,0.0017664950823384482,0.032096103874272475,0.03174705337671734,0.024313436392872312
AFG,2003,0.06658760741001454,0.0006527581758957653,0.06593484923411878,0.06424763393755618,0.02501948143893294
AFG,2004,0.0750552949855948,0.0009195311014727687,0.07413576388412202,0.072582618903958,0.02529791571151623
AFG,2005,0.07066261790840567,0.0008163608301138094,0.06984625707829187,0.06790390834806051,0.02569043237166978
AFG,2006,0.07205230394989331,0.0009094656613257044,0.07114283828856761,0.06890837673310525,0.026242869200854838
AFG,2007,0.06535276870961407,0.0009535592029411401,0.06439920950667292,0.06206539708105671,0.024768364273231133
AFG,2008,0.03164443991603615,0.00011039626405144171,0.03153404365198471,0.029570648229654946,0.021995526374538707
AFG,2009,0.03134559508031183,-0.0013876700012933794,0.032733265081605206,0.030037690093504703,0.014776946878901097
AFG,2010,0.0451830271443866,0.0009863748448788513,0.04419665229950774,0.044180008780906645,0.0099660495368137
AFG,2011,0.04124352612481064,0.0009034551406805523,0.04034007098413009,0.03994540639858833,0.014197309558256687
AFG,2012,0.034604094945478184,0.00036451735115114697,0.03423957759432704,0.033209475756133734,0.01820618560631456
AFG,2013,0.04092184424889348,0.0001568373279210551,0.04076500692097243,0.03939709557226007,0.02046826489800162
AFG,2014,0.048956534985459765,0.0004283406442171431,0.048528194341242614,0.04689132108151996,0.028510433271955692
AFG,2015,0.04567716801330164,0.0003298689654128131,0.045347299047888825,0.04326443783982828,0.03572163555153495
AFG,2016,0.06769480322905352,0.0006876173220672762,0.06700718590698625,0.0652918266476458,0.03641488925186339
AFG,2017,0.04948463072188808,0.0008597036027821335,0.048624927119105946,0.048077833904300635,0.020997553575415658
AFG,2018,0.051387096320156055,0.0004047907949705226,0.05098230552518553,0.05052214949778687,0.013271420423679023
AFG,2019,0.0306490844565378,0.0002880437783633077,0.030361040678174495,0.02959853260814739,0.018169485387747736
AFG,2020,-0.03375412718523189,-0.0009544666066102023,-0.03279966057862167,-0.03436471971233192,0.02747553295537173
AFG,2021,0.07581250450906726,0.001103861992581768,0.07470864251648547,0.07203351437555462,0.046524711187953004
AFG,2022,0.058838077975577746,0.0012986659793166994,0.057539411996261045,0.057094135170244545,0.05302693584722725
AFG,2023,0.0462792588465193,0.0005116530171408059,0.045767605829378485,0.04386213119603992,0.05050832875360103
AGO,1991,-0.0050918341160528496,0.007376504072771176,-0.012468338188824025,-0.0051062399986573255,0.00016097633253804732
AGO,1992,0.01557857256717105,0.022868856527808786,-0.007290283960637734,0.01556663888698134,8.928860195929936e-05
AGO,1993,0.014071833962413722,0.01726215638384156,-0.0031903224214278355,0.013707905726537987,0.0027992795860030794
AGO,1994,0.03717074866612011,0.03125951483112842,0.005911233834991695,0.03445661051593484,0.021788026958469525
AGO,1995,0.03140154533706378,0.024661825568958375,0.006739719768105409,0.0286664951563785,0.026954417380772092
AGO,1996,0.0357453820827328,0.027767578399482677,0.007977803683250115,0.0323449192796535,0.03691529216700025
AGO,1997,0.042253391577141565,0.03315434359902172,0.00909904797811985,0.03904939737819922,0.03495246500376403
AGO,1998,0.0420055932352278,0.03559591673255163,0.006409676502676177,0.036428811708480065,0.07220878148300494
AGO,1999,0.04627405342461383,0.034352624805954586,0.011921428618659245,0.041047536347003255,0.07290244787891142
AGO,2000,0.04584724132182913,0.028590034000123506,0.017257207321705624,0.03906649105362725,0.0803526461144825
AGO,2001,0.02866341656189992,0.005454707825589497,0.023208708736310424,0.010771059300337067,0.2299285775742305
AGO,2002,0.054476576742684225,0.006736554911780261,0.04774002183090398,0.01911060037020386,0.40645232377710333
AGO,2003,0.07369917969991883,0.0036914125244833116,0.07000776717543551,0.020621941337645104,0.5675128353654257
AGO,2004,0.07599505847627838,0.007112998680270622,0.06888205979600777,0.02427467222243176,0.5291505756592112
AGO,2005,0.07380238890663712,0.011053260603260921,0.06274912830337619,0.02531873199372988,0.45150316907461724
AGO,2006,0.06846152865973634,0.011367874245401727,0.05709365441433463,0.025106312930821606,0.3618930010444477
AGO,2007,0.06426059380120486,0.010062917177065433,0.05419767662413942,0.02119536665128207,0.32447053575954493
AGO,2008,0.03678365275275486,0.0012026135290613435,0.03558103922369352,0.006926119162090023,0.3166818402662948
AGO,2009,0.016920938817327882,-0.013389687950414243,0.030310626767742127,-0.011936116508390625,0.3260322255293419
AGO,2010,0.05824796326669127,0.010254650602654064,0.04799331266403721,0.024737256374118728,0.3329643574483725
AGO,2011,0.04932476883112553,0.007975744490310323,0.041349024340815194,0.01756707965726737,0.3473283202992847
AGO,2012,0.04254141630745793,0.004312268698738265,0.03822914760871967,0.01462119784155666,0.36448708252608203
AGO,2013,0.04410423778732731,0.0038769005020054745,0.04022733728532184,0.014272376821059994,0.40046365805419964
AGO,2014,0.05038348136897445,0.006702674720642648,0.0436808066483318,0.01909592588922188,0.43192705658546476
AGO,2015,0.04715022101320555,0.006106803217097282,0.04104341779610826,0.01633302247447362,0.4562635088759662
AGO,2016,0.0435917796498661,0.0055560530611830595,0.03803572658868304,0.014630613105802378,0.4388797129637538
AGO,2017,0.04552043424538392,0.007962181968971634,0.03755825227641229,0.01678507855938311,0.42889787848693556
AGO,2018,0.044820806501199864,0.005420342132339868,0.03940046436886,0.016158870979414583,0.4397780148195402
AGO,2019,0.04114106515482299,0.003697759726817029,0.03744330542800595,0.012304638229379352,0.49873125106529353
AGO,2020,-0.013582354815175711,-0.010999178573068365,-0.0025831762421073498,-0.02612865611165105,0.5645603236851515
AGO,2021,0.07465381951099952,0.008831176562698008,0.06582264294830151,0.0246352442885468,0.6157993760344752
AGO,2022,0.03988528816172157,0.00574864850628566,0.03413663965543592,0.0197704480239769,0.6116188755156029
AGO,2023,0.040700143547835,0.002495096807566986,0.03820504674026801,0.014183877748090217,0.5540842123359775
