设定,检验,估计,SE,p
主模型,L1,0.6285266609039573,0.1415270739368804,8.952731253027921e-06
主模型,L4,0.5954758468901369,0.14156977453715713,2.5965936952285847e-05
固定基期权重（1990–94）,L1,0.8845735993794147,0.1647276888291942,7.877399463659683e-08
固定基期权重（1990–94）,L4,0.9371843822319318,0.18222901996251994,2.705394765298181e-07
进出口合计权重,L1,0.8383940178765024,0.18023087496104218,3.2908525961404204e-06
进出口合计权重,L4,0.7886945945424545,0.18358234635861792,1.7380154559754186e-05
剔除 2009、2020 年,L1,0.5726438364193321,0.14549257956767828,8.288645047880215e-05
剔除 2009、2020 年,L4,0.5623341276454034,0.14894594523180374,0.00015973558789635965
剔除中国（作为样本国）,L1,0.6295217520060964,0.14138721452706093,8.488972304033282e-06
剔除中国（作为样本国）,L4,0.5964186302849558,0.14140006675158098,2.4653177670602178e-05
伙伴增长滞后一期,L1,0.20271466374065827,0.16205706992710286,0.21097664929646787
伙伴增长滞后一期,L4,0.2176067527411017,0.167270938126229,0.19328452169640908
只用区域外伙伴,L1,0.19860925714086544,0.09920104607091304,0.04527523189833532
只用区域外伙伴,L4,0.18638185739647375,0.1010896934139363,0.06522284921905044
南方伙伴中去掉中国,L4,0.6390804287056298,0.1638678676950278,9.805913923610632e-05
南方伙伴中去掉最大伙伴,L4,0.935567322594812,0.2140150602386952,1.2708276070805267e-05
