ISO3,t,D_after,ka_pre,ka_post,dg,lny_pre,db_pre,db_post,type,type_db,decade
ALB,2002,1.5238095238095235,0.0,-0.25570097,0.009401529222980855,8.809641288308649,,1.0,无变化,,2000
AZE,1996,4.0,,,0.25871558025360625,9.060610489342812,,,,,1990
BIH,2003,4.507936507936508,,-0.34323170000000003,-0.021635520064784322,9.349586529183124,,3.0,,,2000
BWA,2016,5.0,0.0,0.0,-0.00858731697264798,9.512719412943415,5.0,2.0,无变化,先试后签,2010
CHN,2004,4.0,0.0,0.0,0.02484564333187579,15.088266891866672,,6.0,无变化,,2000
CUB,2001,3.155121733665794,,,0.02110872813451045,10.730329831070144,,,,,2000
DOM,2001,6.0,-0.29881526999999997,0.58238811,-0.015536593984560532,10.474284314056112,,,以签促改,,2000
DZA,1998,2.0251778872468527,0.0,0.0,0.03115360341423243,11.490433915761631,,,无变化,,1990
EGY,1999,3.0,0.71825033,-0.0018231300000000061,-0.009818426518359395,11.942500902353595,,,先试后签,,1990
HRV,2002,3.592819326896662,0.0,0.28357284000000005,0.020593567235495377,10.608129415378906,,4.0,以签促改,,2000
HTI,2002,3.0,0.28357284000000005,0.23863539999999994,0.0068980988793164826,9.27136209140951,,0.0,先试后签,,2000
IDN,2008,6.0,0.0,-0.28357284000000005,0.0028125513262758015,13.229344998360634,3.0,9.0,无变化,以签促改,2000
IRQ,1998,0.5079365079365079,,,-0.16560029855843048,10.914584519073763,,,,,1990
JOR,1998,0.5079365079365079,0.5989326500000001,0.23863535999999996,0.0034991327367152186,9.714464591406914,,,先试后签,,1990
KGZ,1995,4.0,,,0.21054294483973632,7.9596913175891695,,,,,1990
KHM,2008,3.8773388773388775,0.34140850000000006,0.0,-0.041354669255559535,9.55953631780183,3.0,5.0,先试后签,以签促改,2000
LBN,1998,0.5079365079365079,-0.05965880000000001,-0.23863539999999994,-0.049789168273695214,10.113275108299014,,,无变化,,1990
LBY,1998,2.0251778872468527,0.0,0.0,0.0216517379918514,10.953492760274049,,,无变化,,1990
MAR,1998,1.2665571975916805,0.0,0.0,0.014929876636148198,10.824351809880248,,,无变化,,1990
MKD,2002,5.0,,0.28357281,0.015680717321768955,8.771154402763365,,2.0,,,2000
MMR,2008,4.0,0.0,0.0,-0.044379349646883504,10.40151695273508,0.0,0.0,无变化,无变化,2000
MNG,2016,4.507936507936508,0.11931770999999991,0.0,-0.06634855598232645,9.360474424516893,8.0,2.0,先试后签,先试后签,2010
MYS,2006,5.507936507936508,0.0,-0.25570097,-0.003059316780818125,12.136891363437917,,5.0,无变化,,2000
OMN,1998,0.5079365079365079,-0.25570099999999996,0.0,-0.031191949986782257,10.66029263222488,,,无变化,,1990
PAK,2007,4.0,0.0,0.0,-0.03126320584941095,12.304114092027511,0.0,1.0,无变化,以签促改,2000
PAN,2003,5.877338877338877,0.0,0.0,0.053195948658258274,9.964938656251698,,0.0,无变化,,2000
PHL,2008,5.507936507936508,0.0,-0.28357281,-0.004280857052821198,12.211289513977611,1.0,6.0,无变化,以签促改,2000
PSE,1998,1.841269841269841,,,-0.11531962677778218,8.746366526987424,,,,,1990
RUS,1997,3.7586206896551726,,-0.41813296,0.1315430769365416,13.43582854082948,,,,,1990
SAU,1998,0.5079365079365079,-0.11931769999999997,-0.17897649999999998,0.009060931638311683,12.725909941925726,,,无变化,,1990
SOM,1998,1.449672536473963,,,0.07685469548168342,7.500274615992369,,,,,1990
SVN,1995,2.488483061736118,,,,,,,,,1990
SYR,1998,0.5079365079365079,0.0,0.0,-0.05013223253592897,13.15855354154084,,,无变化,,1990
THA,2005,5.507936507936508,0.0,-0.25570097,-0.016702218821513883,12.530972464998706,,9.0,无变化,,2000
TJK,1997,5.0,,,0.28770854681978775,7.716112409874119,,,,,1990
TUN,1998,4.517241379310345,-0.25570097,0.0,0.0005919079673031569,10.086981338667396,,,无变化,,1990
TUR,1997,6.0,-0.25570097,0.0,-0.029789701831007383,12.793122372293404,,,无变化,,1990
VEN,1995,5.6050501490872335,-0.09326901000000001,0.77790921,-0.03142294855212134,-11.655641767171824,,,以签促改,,1990
VNM,2001,4.015873015873016,0.0,0.0,0.0009744861184255438,11.44599282688708,,,无变化,,2000
YEM,1998,0.5079365079365079,,0.17897653999999996,-0.0091952145059839,9.941448819073218,,,,,1990
ZAF,2000,5.0,-0.25570097,0.0,0.012200716995512225,12.265314664933411,,,无变化,,2000
