ISO3,year,POLCONIII_2025
AFG,1800,0.0
AFG,1801,0.0
AFG,1802,0.0
AFG,1803,0.0
AFG,1804,0.0
AFG,1805,0.0
AFG,1806,0.0
AFG,1807,0.0
AFG,1808,0.0
AFG,1809,0.0
AFG,1810,0.0
AFG,1811,0.0
AFG,1812,0.0
AFG,1813,0.0
AFG,1814,0.0
AFG,1815,0.0
AFG,1816,0.0
AFG,1817,0.0
AFG,1818,0.0
AFG,1819,0.0
AFG,1820,0.0
AFG,1821,0.0
AFG,1822,0.0
AFG,1823,0.0
AFG,1824,0.0
AFG,1825,0.0
AFG,1826,0.0
AFG,1827,0.0
AFG,1828,0.0
AFG,1829,0.0
AFG,1830,0.0
AFG,1831,0.0
AFG,1832,0.0
AFG,1833,0.0
AFG,1834,0.0
AFG,1835,0.0
AFG,1836,0.0
AFG,1837,0.0
AFG,1838,0.0
AFG,1839,0.0
AFG,1840,0.0
AFG,1841,0.0
AFG,1842,0.0
AFG,1843,0.0
AFG,1844,0.0
AFG,1845,0.0
AFG,1846,0.0
AFG,1847,0.0
AFG,1848,0.0
AFG,1849,0.0
AFG,1850,0.0
AFG,1851,0.0
AFG,1852,0.0
AFG,1853,0.0
AFG,1854,0.0
AFG,1855,0.0
AFG,1856,0.0
AFG,1857,0.0
AFG,1858,0.0
AFG,1859,0.0
AFG,1860,0.0
AFG,1861,0.0
AFG,1862,0.0
AFG,1863,0.0
AFG,1864,0.0
AFG,1865,0.0
AFG,1866,0.0
AFG,1867,0.0
AFG,1868,0.0
AFG,1869,0.0
AFG,1870,0.0
AFG,1871,0.0
AFG,1872,0.0
AFG,1873,0.0
AFG,1874,0.0
AFG,1875,0.0
AFG,1876,0.0
AFG,1877,0.0
AFG,1878,0.0
AFG,1879,0.0
AFG,1880,0.0
AFG,1881,0.0
AFG,1882,0.0
AFG,1883,0.0
AFG,1884,0.0
AFG,1885,0.0
AFG,1886,0.0
AFG,1887,0.0
AFG,1888,0.0
AFG,1889,0.0
AFG,1890,0.0
AFG,1891,0.0
AFG,1892,0.0
AFG,1893,0.0
AFG,1894,0.0
AFG,1895,0.0
AFG,1896,0.0
AFG,1897,0.0
AFG,1898,0.0
AFG,1899,0.0
AFG,1900,0.0
AFG,1901,0.0
AFG,1902,0.0
AFG,1903,0.0
AFG,1904,0.0
AFG,1905,0.0
AFG,1906,0.0
AFG,1907,0.0
AFG,1908,0.0
AFG,1909,0.0
AFG,1910,0.0
AFG,1911,0.0
AFG,1912,0.0
AFG,1913,0.0
AFG,1914,0.0
AFG,1915,0.0
AFG,1916,0.0
AFG,1917,0.0
AFG,1918,0.0
AFG,1919,0.0
AFG,1920,0.0
AFG,1921,0.0
AFG,1922,0.0
AFG,1923,0.0
AFG,1924,0.0
AFG,1925,0.0
AFG,1926,0.0
AFG,1927,0.0
AFG,1928,0.0
AFG,1929,0.0
AFG,1930,0.0
AFG,1931,0.0
AFG,1932,0.0
AFG,1933,0.0
AFG,1934,0.0
AFG,1935,0.0
AFG,1936,0.0
AFG,1937,0.0
AFG,1938,0.0
AFG,1939,0.0
AFG,1940,0.0
AFG,1941,0.0
AFG,1942,0.0
AFG,1943,0.0
AFG,1944,0.0
AFG,1945,0.0
AFG,1946,0.0
AFG,1947,0.0
AFG,1948,0.0
AFG,1949,0.0
AFG,1950,0.0
AFG,1951,0.0
AFG,1952,0.0
AFG,1953,0.0
AFG,1954,0.0
AFG,1955,0.0
AFG,1956,0.0
AFG,1957,0.0
AFG,1958,0.0
AFG,1959,0.0
AFG,1960,0.0
AFG,1961,0.0
AFG,1962,0.0
AFG,1963,0.0
AFG,1964,0.0
AFG,1965,0.0
AFG,1966,0.0
AFG,1967,0.0
AFG,1968,0.0
AFG,1969,0.0
AFG,1970,0.0
AFG,1971,0.0
AFG,1972,0.0
AFG,1973,0.0
AFG,1974,0.0
AFG,1975,0.0
AFG,1976,0.0
AFG,1977,0.0
AFG,1978,0.0
AFG,1979,0.0
AFG,1980,0.0
AFG,1981,0.0
AFG,1982,0.0
AFG,1983,0.0
AFG,1984,0.0
AFG,1985,0.0
AFG,1986,0.0
AFG,1987,0.0
AFG,1988,0.0
AFG,1989,0.0
AFG,1990,0.0
AFG,1991,0.0
AFG,1992,0.0
AFG,1993,0.0
AFG,1994,0.0
AFG,1995,0.0
AFG,1996,0.0
