变体,检验,b,se,p,N,国家数
基准,H1 D,0.004421883768525191,0.00299183448754002,0.13950726767564303,3465,117
基准,H2 D×C,-0.0010440138926035045,0.002864121165122952,0.7155296839307841,1514,111
基准,H3 D×P,0.006172629416713149,0.006071443462642876,0.309966135039788,452,51
基准,H4 S,0.004325074954624302,0.002026716389511928,0.03299940085740527,1677,110
基准,Y1 D_投资×C,0.004417152287604269,0.008746361426370105,0.6136215875252751,1485,109
E1 剔除中国,H1 D,0.0035590295536811647,0.002968632257079509,0.2306619094611182,3432,116
E1 剔除中国,H2 D×C,-0.0013959192346247136,0.0028624724378447765,0.6258674777734179,1500,110
E1 剔除中国,H3 D×P,0.006004932602206004,0.006326019437009252,0.3431283329797199,438,50
E1 剔除中国,H4 S,0.004334037570559558,0.002038105604133102,0.033623519206908314,1658,109
E1 剔除中国,Y1 D_投资×C,0.004600967151787441,0.008805757714581312,0.6014116186822263,1471,108
E2 D → 门槛版 D_strict,H1 D,0.0017997503829185336,0.0025506563023372695,0.48048484357068855,3465,117
E2 D → 门槛版 D_strict,H2 D×C,-0.0007814592064431911,0.0024862104733746307,0.7533275308371996,1514,111
E2 D → 门槛版 D_strict,H3 D×P,0.004939439577254377,0.005884325351311624,0.4017652215316043,452,51
E2 D → 门槛版 D_strict,H4 S,0.004714087291938546,0.0019130434159630668,0.013842259265304024,1677,110
E2 D → 门槛版 D_strict,Y1 D_投资×C,0.004417152287604269,0.008746361426370105,0.6136215875252751,1485,109
E2 D → 宽松版 D_loose,H1 D,0.0053056540212748785,0.0030350354217903975,0.08053331269440633,3465,117
E2 D → 宽松版 D_loose,H2 D×C,-0.0014566024546455504,0.0029115974820437774,0.6169605479931319,1514,111
E2 D → 宽松版 D_loose,H3 D×P,0.006678762828529526,0.006233165428110889,0.2846372693672965,452,51
E2 D → 宽松版 D_loose,H4 S,0.00403210206906186,0.0019602858159494503,0.03986609692382803,1677,110
E2 D → 宽松版 D_loose,Y1 D_投资×C,0.004417152287604269,0.008746361426370105,0.6136215875252751,1485,109
E2 D → 只用世行 D_wbonly,H1 D,0.003533341757194938,0.0028449280179612523,0.21433226480944745,3465,117
E2 D → 只用世行 D_wbonly,H2 D×C,-0.0017938034930446403,0.0027049289180739334,0.5073382511961921,1514,111
E2 D → 只用世行 D_wbonly,H3 D×P,0.006041374593255655,0.007442434806256148,0.4174503658278421,452,51
E2 D → 只用世行 D_wbonly,H4 S,0.004709650212578867,0.001856996570922267,0.011306451248178861,1677,110
E2 D → 只用世行 D_wbonly,Y1 D_投资×C,0.004417152287604269,0.008746361426370105,0.6136215875252751,1485,109
E2 C → BTI（学习+执行+协调）,H1 D,0.004421883768525191,0.00299183448754002,0.13950726767564303,3465,117
