D口径,控制,FE,样本,时期,b_D,b_D2,se_D2,p_D2,拐点,N,国家数,支持
D,Aizenman六项,年份,发展中国家,1990–2023,0.015155187448860024,-0.002073830955827994,0.0007745246084821275,0.007450016844859686,3.653910991701151,3744,119,True
D,Aizenman六项,年份,发展中国家,1995–2019,0.004034643297678617,-0.000474754178693389,0.0007961158245111806,0.551000353770664,4.24919198055581,2799,118,False
D,Aizenman六项,年份,剔除中东欧入盟国,1990–2023,0.014194837911508633,-0.0019474840912764065,0.000810619811936492,0.016340209076854295,3.644404073720867,3437,109,True
D,Aizenman六项,年份,剔除中东欧入盟国,1995–2019,0.003883520422686132,-0.0003919460143202016,0.0008350988132879121,0.6388681916645536,4.954152205657431,2565,108,False
D,Aizenman六项,年份,全部国家,1990–2023,0.01266745899405792,-0.0016227764642032742,0.0006503667712844968,0.012625354325071392,3.903020309170307,4669,148,True
D,Aizenman六项,年份,全部国家,1995–2019,0.0005590241492480241,-2.722535056379933e-05,0.0006582434544806983,0.9670109131987066,10.2666106711467,3484,147,False
D,Aizenman六项,区域×年份,发展中国家,1990–2023,0.007654351297672544,-0.0009944083303251203,0.0007794499430435208,0.20211933018210826,3.848696287152967,3744,119,False
D,Aizenman六项,区域×年份,发展中国家,1995–2019,0.001203147950055774,-0.0001639313256457168,0.0008316598492914332,0.843754644760303,3.6696706542103468,2799,118,False
D,Aizenman六项,区域×年份,剔除中东欧入盟国,1990–2023,0.006572139163566435,-0.0007992294179590629,0.0008088073147666162,0.3231519729501682,4.111547332898015,3437,109,False
D,Aizenman六项,区域×年份,剔除中东欧入盟国,1995–2019,0.0011650857902925596,-8.74274755605229e-05,0.0008655413184851796,0.9195521083012848,6.663155849021471,2565,108,False
D,Aizenman六项,区域×年份,全部国家,1990–2023,0.00861860368771682,-0.0008640407442244888,0.0005736772046791021,0.1321039586439401,4.987382681503267,4669,148,False
D,Aizenman六项,区域×年份,全部国家,1995–2019,-0.0022641685286271503,0.00026432002176577697,0.0006541210384674372,0.6861781404416796,4.283006095227829,3484,147,False
D,+能力、hc,年份,发展中国家,1990–2023,0.01617163354795597,-0.0022518023525473748,0.0006935023558977479,0.0011779310163828605,3.590819933566026,3465,117,True
D,+能力、hc,年份,发展中国家,1995–2019,0.009816724726631533,-0.001221977980166274,0.000756728721677063,0.10647583932938698,4.01673552468424,2665,115,False
D,+能力、hc,年份,剔除中东欧入盟国,1990–2023,0.015134232752934447,-0.0020984307700205405,0.0007153686566467953,0.003378459698127001,3.6060834050737602,3166,107,True
D,+能力、hc,年份,剔除中东欧入盟国,1995–2019,0.010444841536850368,-0.0012275168634651782,0.0007994195296730541,0.12479656948747131,4.254459489609555,2431,105,False
D,+能力、hc,年份,全部国家,1990–2023,0.014381936447303071,-0.001888192050952218,0.000582484421374059,0.0011979656056733123,3.8083881457000732,4319,145,True
D,+能力、hc,年份,全部国家,1995–2019,0.007970324917820541,-0.0008988648953696697,0.0006497673236975669,0.16665173356815832,4.433550002274059,3311,143,False
D,+能力、hc,区域×年份,发展中国家,1990–2023,0.008456290809610757,-0.0011154978968638634,0.0006894682184378763,0.10578228545752744,3.7903660927487937,3465,117,False
D,+能力、hc,区域×年份,发展中国家,1995–2019,0.006237401135097706,-0.0008417032284111374,0.0007443745398345264,0.25827276653029574,3.705225859042917,2665,115,False
D,+能力、hc,区域×年份,剔除中东欧入盟国,1990–2023,0.008326588489385656,-0.0010465048241835135,0.0006850779844102732,0.12673013558352708,3.9782848090939704,3166,107,False
D,+能力、hc,区域×年份,剔除中东欧入盟国,1995–2019,0.007136036805613913,-0.0008722074273219219,0.000771952104381699,0.25865501481571407,4.090791124953401,2431,105,False
D,+能力、hc,区域×年份,全部国家,1990–2023,0.00979554520350042,-0.0011046866871031698,0.0005166294884487806,0.032557311831435065,4.433630511646415,4319,145,True
D,+能力、hc,区域×年份,全部国家,1995–2019,0.0050143059734170225,-0.0006727695176196626,0.0006254413477709522,0.28216109975119963,3.726615016059456,3311,143,False
D,+能力、hc、Geo,年份,发展中国家,1990–2023,0.015474123673348689,-0.002151419178584976,0.0007393387001819184,0.0036397710018458707,3.5962595823669923,3405,117,True
D,+能力、hc、Geo,年份,发展中国家,1995–2019,0.009743493482222343,-0.0012083726687182673,0.0007531100437147074,0.10872940042185308,4.031659162134709,2623,115,False
D,+能力、hc、Geo,年份,剔除中东欧入盟国,1990–2023,0.015719111654024922,-0.002157040880113406,0.0007699373529034766,0.005118348093089864,3.6436749527896044,3112,107,True
D,+能力、hc、Geo,年份,剔除中东欧入盟国,1995–2019,0.010267039382747378,-0.001210013685389299,0.0007988576562807582,0.12999405432979882,4.242530273301889,2389,105,False
D,+能力、hc、Geo,年份,全部国家,1990–2023,0.015474123673348689,-0.002151419178584976,0.0007393387001819184,0.0036397710018458707,3.5962595823669923,3405,117,True
D,+能力、hc、Geo,年份,全部国家,1995–2019,0.009743493482222343,-0.0012083726687182673,0.0007531100437147074,0.10872940042185308,4.031659162134709,2623,115,False
D,+能力、hc、Geo,区域×年份,发展中国家,1990–2023,0.007697204167179247,-0.0010588245104665402,0.0007210416318564795,0.14208006549826413,3.6347874889048883,3405,117,False
D,+能力、hc、Geo,区域×年份,发展中国家,1995–2019,0.005629622233336684,-0.0008064751378391151,0.0007507596514956381,0.2828380340151142,3.4902639704559286,2623,115,False
D,+能力、hc、Geo,区域×年份,剔除中东欧入盟国,1990–2023,0.008155368581144342,-0.0010633645657358072,0.0007275991012590518,0.14399875855965671,3.8347001790026463,3112,107,False
D,+能力、hc、Geo,区域×年份,剔除中东欧入盟国,1995–2019,0.006443313389462452,-0.000825085458723551,0.0007798628396679638,0.29018131670559777,3.904633951148881,2389,105,False
D,+能力、hc、Geo,区域×年份,全部国家,1990–2023,0.007697204167179247,-0.0010588245104665402,0.0007210416318564795,0.14208006549826413,3.6347874889048883,3405,117,False
D,+能力、hc、Geo,区域×年份,全部国家,1995–2019,0.005629622233336684,-0.0008064751378391151,0.0007507596514956381,0.2828380340151142,3.4902639704559286,2623,115,False
D_strict,Aizenman六项,年份,发展中国家,1990–2023,0.011410578781487036,-0.0017480035185378007,0.0006919641212740676,0.011574829685528032,3.263888962601159,3744,119,True
D_strict,Aizenman六项,年份,发展中国家,1995–2019,0.004418282940998981,-0.0006331451575329455,0.0007281816500153492,0.3846590801980969,3.489154807891804,2799,118,False
D_strict,Aizenman六项,年份,剔除中东欧入盟国,1990–2023,0.011567150294307759,-0.001696361187662628,0.0007325091105255827,0.020629200744162857,3.4094007745620005,3437,109,True
D_strict,Aizenman六项,年份,剔除中东欧入盟国,1995–2019,0.004476386299072179,-0.0005163329467527296,0.0007919811330836185,0.5144945229952333,4.3347866209435475,2565,108,False
D_strict,Aizenman六项,年份,全部国家,1990–2023,0.010439335049134713,-0.001465132441386295,0.0005964177411138555,0.01406533650586228,3.562590914735704,4669,148,True
D_strict,Aizenman六项,年份,全部国家,1995–2019,0.0019421670994716998,-0.00025647301163529614,0.0006083765570584526,0.6733666760020798,3.7862991647508233,3484,147,False
D_strict,Aizenman六项,区域×年份,发展中国家,1990–2023,0.005219063259393449,-0.000663556566379911,0.0006224074012148811,0.2864479915676985,3.932643819551429,3744,119,False
D_strict,Aizenman六项,区域×年份,发展中国家,1995–2019,0.002435402104246528,-0.0003033348187503594,0.0007288072228325033,0.6772937732471598,4.014379414601317,2799,118,False
D_strict,Aizenman六项,区域×年份,剔除中东欧入盟国,1990–2023,0.005597078811857913,-0.0006765305712945987,0.0006628295330607248,0.3074897714951679,4.136604500479134,3437,109,False
D_strict,Aizenman六项,区域×年份,剔除中东欧入盟国,1995–2019,0.002757416102165074,-0.00029033342015155356,0.0007964179038565289,0.7154815382672588,4.7487059890068934,2565,108,False
D_strict,Aizenman六项,区域×年份,全部国家,1990–2023,0.006355592101932771,-0.0006191931303031866,0.0005123710491526243,0.2269272847535544,5.1321565040787585,4669,148,False
D_strict,Aizenman六项,区域×年份,全部国家,1995–2019,-0.00022736946990308907,6.859895174759463e-05,0.0005880906569038987,0.9071472951880835,1.6572372034173364,3484,147,False
D_strict,+能力、hc,年份,发展中国家,1990–2023,0.010959331424685644,-0.0017257932480444548,0.0006582447218017905,0.008786492015398828,3.175157695484083,3465,117,True
D_strict,+能力、hc,年份,发展中国家,1995–2019,0.007023481301472439,-0.000998985448106766,0.0006798025318457048,0.1418160165685689,3.515307112222223,2665,115,False
D_strict,+能力、hc,年份,剔除中东欧入盟国,1990–2023,0.011145316166018453,-0.0016720186937856556,0.0007046954653418278,0.017721779419272554,3.33289221210323,3166,107,True
D_strict,+能力、hc,年份,剔除中东欧入盟国,1995–2019,0.0079473467314611,-0.0009822475241516447,0.0007431274708254319,0.1863748987343925,4.04549084423762,2431,105,False
