ISO3,year
AFG,1972
AFG,1973
AFG,1974
AFG,1975
AFG,1976
AFG,1977
AFG,1978
AFG,1979
AFG,1980
AFG,1981
AFG,1982
AFG,1983
AFG,1984
AFG,1985
AFG,1986
AFG,1987
AFG,1988
AFG,1989
AFG,1990
AFG,1991
AFG,1992
AFG,1993
AFG,1994
AFG,1995
AFG,1996
AFG,1997
AFG,1998
AFG,1999
AFG,2000
AFG,2001
AFG,2002
AFG,2003
AFG,2004
AFG,2005
AFG,2006
AFG,2007
AFG,2008
AFG,2009
AFG,2010
AFG,2011
AFG,2012
AFG,2013
AFG,2014
AFG,2015
AFG,2016
AFG,2017
AFG,2018
AFG,2019
AFG,2020
AFG,2021
AFG,2022
AFG,2023
AFG,2024
AGO,1971
AGO,1972
AGO,1973
AGO,1974
AGO,1975
AGO,1976
AGO,1977
AGO,1978
AGO,1979
AGO,1980
AGO,1981
AGO,1982
AGO,1983
AGO,1984
AGO,1985
AGO,1986
AGO,1987
AGO,1988
AGO,1989
AGO,1990
AGO,1991
AGO,1992
AGO,1993
AGO,1994
AGO,1995
AGO,1996
AGO,1997
AGO,1998
AGO,1999
AGO,2000
AGO,2001
AGO,2002
AGO,2003
AGO,2004
AGO,2005
AGO,2006
AGO,2007
AGO,2008
AGO,2009
AGO,2010
AGO,2011
AGO,2012
AGO,2013
AGO,2014
AGO,2015
AGO,2016
AGO,2017
AGO,2018
AGO,2019
AGO,2020
AGO,2021
AGO,2022
AGO,2023
AGO,2024
ALB,1982
ALB,1983
ALB,1984
ALB,1985
ALB,1986
ALB,1987
ALB,1988
ALB,1989
ALB,1990
ALB,1991
ALB,1992
ALB,1993
ALB,1994
ALB,1995
ALB,1996
ALB,1997
ALB,1998
ALB,1999
ALB,2000
ALB,2001
ALB,2002
ALB,2003
ALB,2004
ALB,2005
ALB,2006
ALB,2007
ALB,2008
ALB,2009
ALB,2010
ALB,2011
ALB,2012
ALB,2013
ALB,2014
ALB,2015
ALB,2016
ALB,2017
ALB,2018
ALB,2019
ALB,2020
ALB,2021
ALB,2022
ALB,2023
ALB,2024
ARE,1991
ARE,1992
ARE,1993
ARE,1994
ARE,1995
ARE,1996
ARE,1997
ARE,1998
ARE,1999
ARE,2000
ARE,2001
ARE,2002
ARE,2003
ARE,2004
ARE,2005
ARE,2006
ARE,2007
ARE,2008
ARE,2009
ARE,2010
ARE,2011
ARE,2012
ARE,2013
ARE,2014
ARE,2015
ARE,2016
ARE,2017
ARE,2018
ARE,2019
ARE,2020
ARE,2021
ARE,2022
ARE,2023
ARE,2024
ARG,1960
ARG,1961
ARG,1962
ARG,1963
ARG,1964
ARG,1965
ARG,1966
ARG,1967
ARG,1968
ARG,1969
ARG,1970
ARG,1971
ARG,1972
ARG,1973
ARG,1974
ARG,1975
ARG,1976
ARG,1977
ARG,1978
ARG,1979
ARG,1980
ARG,1981
ARG,1982
ARG,1983
ARG,1984
ARG,1985
ARG,1986
ARG,1987
ARG,1988
ARG,1989
ARG,1990
ARG,1991
ARG,1992
ARG,1993
ARG,1994
ARG,1995
ARG,1996
ARG,1997
ARG,1998
ARG,1999
ARG,2000
ARG,2001
ARG,2002
ARG,2003
ARG,2004
ARG,2005
ARG,2006
ARG,2007
ARG,2008
ARG,2009
ARG,2010
ARG,2011
ARG,2012
ARG,2013
ARG,2014
ARG,2015
ARG,2016
ARG,2017
ARG,2018
ARG,2019
ARG,2020
ARG,2021
ARG,2022
ARG,2023
ARG,2024
ARM,1994
ARM,1995
ARM,1996
ARM,1997
ARM,1998
ARM,1999
ARM,2000
ARM,2001
ARM,2002
ARM,2003
ARM,2004
ARM,2005
ARM,2006
ARM,2007
ARM,2008
ARM,2009
ARM,2010
ARM,2011
ARM,2012
ARM,2013
ARM,2014
ARM,2015
ARM,2016
ARM,2017
ARM,2018
ARM,2019
ARM,2020
ARM,2021
ARM,2022
ARM,2023
ARM,2024
AUS,1960
AUS,1961
AUS,1962
AUS,1963
AUS,1964
AUS,1965
AUS,1966
AUS,1967
AUS,1968
AUS,1969
AUS,1970
AUS,1971
AUS,1972
AUS,1973
AUS,1974
AUS,1975
AUS,1976
AUS,1977
AUS,1978
AUS,1979
AUS,1980
AUS,1981
AUS,1982
AUS,1983
AUS,1984
AUS,1985
AUS,1986
AUS,1987
AUS,1988
AUS,1989
AUS,1990
AUS,1991
AUS,1992
AUS,1993
AUS,1994
AUS,1995
AUS,1996
AUS,1997
AUS,1998
AUS,1999
AUS,2000
AUS,2001
AUS,2002
AUS,2003
AUS,2004
AUS,2005
AUS,2006
AUS,2007
AUS,2008
AUS,2009
AUS,2010
AUS,2011
AUS,2012
AUS,2013
AUS,2014
AUS,2015
AUS,2016
AUS,2017
AUS,2018
AUS,2019
AUS,2020
AUS,2021
AUS,2022
AUS,2023
AUS,2024
AUT,1960
AUT,1961
AUT,1962
AUT,1963
AUT,1964
AUT,1965
AUT,1966
AUT,1967
AUT,1968
AUT,1969
AUT,1970
AUT,1971
AUT,1972
AUT,1973
AUT,1974
AUT,1975
AUT,1976
AUT,1977
AUT,1978
AUT,1979
AUT,1980
AUT,1981
AUT,1982
AUT,1983
AUT,1984
AUT,1985
AUT,1986
AUT,1987
AUT,1988
AUT,1989
AUT,1990
AUT,1991
AUT,1992
AUT,1993
AUT,1994
AUT,1995
AUT,1996
AUT,1997
AUT,1998
AUT,1999
AUT,2000
AUT,2001
AUT,2002
AUT,2003
AUT,2004
AUT,2005
AUT,2006
AUT,2007
AUT,2008
AUT,2009
AUT,2010
AUT,2011
AUT,2012
AUT,2013
AUT,2014
AUT,2015
AUT,2016
AUT,2017
AUT,2018
AUT,2019
AUT,2020
AUT,2021
AUT,2022
AUT,2023
AUT,2024
AZE,1992
AZE,1993
AZE,1994
AZE,1995
AZE,1996
AZE,1997
AZE,1998
AZE,1999
AZE,2000
AZE,2001
AZE,2002
AZE,2003
AZE,2004
AZE,2005
AZE,2006
AZE,2007
AZE,2008
AZE,2009
AZE,2010
AZE,2011
AZE,2012
AZE,2013
AZE,2014
AZE,2015
AZE,2016
AZE,2017
AZE,2018
AZE,2019
AZE,2020
AZE,2021
AZE,2022
AZE,2023
AZE,2024
BDI,1967
BDI,1968
BDI,1969
BDI,1970
BDI,1971
BDI,1972
BDI,1973
BDI,1974
BDI,1975
BDI,1976
BDI,1977
BDI,1978
BDI,1979
BDI,1980
BDI,1981
BDI,1982
BDI,1983
BDI,1984
BDI,1985
BDI,1986
BDI,1987
BDI,1988
BDI,1989
BDI,1990
BDI,1991
BDI,1992
BDI,1993
BDI,1994
BDI,1995
BDI,1996
BDI,1997
BDI,1998
BDI,1999
BDI,2000
BDI,2001
BDI,2002
BDI,2003
BDI,2004
BDI,2005
BDI,2006
BDI,2007
BDI,2008
BDI,2009
BDI,2010
BDI,2011
BDI,2012
BDI,2013
BDI,2014
BDI,2015
BDI,2016
BDI,2017
BDI,2018
BDI,2019
BDI,2020
BDI,2021
BDI,2022
BDI,2023
BDI,2024
BEL,1960
BEL,1961
BEL,1962
BEL,1963
BEL,1964
BEL,1965
BEL,1966
BEL,1967
BEL,1968
BEL,1969
BEL,1970
BEL,1971
BEL,1972
BEL,1973
