WBID,number,jaccard,matched,wb_name,desta_name
1,293,1.0,True,EU Treaty,EC
2,375,1.0,True,European Free Trade Association (EFTA),EFTA
3,186,0.75,True,Central American Common Market (CACM),Central American Common Market (CACM)
4,314,0.3157894736842105,False,EU – Overseas Countries and Territories (OCT),EC Israel
5,293+1,1.0,True,EC (9) Enlargement,EC (9) Enlargement
6,350,1.0,True,EU - Switzerland - Liechtenstein,EC Switzerland Liechtenstein
7,313,1.0,True,EU - Iceland,EC Iceland
8,336,1.0,True,EU - Norway,EC Norway
9,171,0.3333333333333333,False,Caribbean Community and Common Market (CARICOM),Caribbean Community (CARICOM)
10,100,1.0,True,Asia Pacific Trade Agreement (APTA),Bangkok Agreement
11,81,1.0,True,Australia - Papua New Guinea (PATCRA),Australia Papua New Guinea
12,351,1.0,True,EU - Syria,EC Syria
13,293+2,1.0,True,EC (10) Enlargement,EC (10) Enlargement
14,668,0.7333333333333333,False,South Pacific Regional Trade and Economic Cooperation Agreement (SPARTECA),South Pacific Trade and Economic Co Operation Agreement (SPARTECA)
15,562,1.0,True,Latin American Integration Association (LAIA),Latin American Integration Association (ALADI LAIA)
16,167,0.5,False,Australia - New Zealand Closer Economic Relations Trade Agreement (ANZCERTA),Canada New Zealand
17,516,1.0,True,United States - Israel,Israel US
18,293+3,1.0,True,EC (12) Enlargement,EC (12) Enlargement
19,461,0.8571428571428571,True,Global System of Trade Preferences among Developing Countries (GSTP),Global System of Trade Preferences (GSTP)
20,27a,1.0,True,Andean Community (CAN),Andean Group (consolidated)
21,604,1.0,True,Southern Common Market (MERCOSUR),MERCOSUR
22,560,1.0,True,Lao People's Democratic Republic - Thailand,Laos Thailand
23,402,0.875,True,EFTA - Türkiye,EFTA Turkey
24,370,1.0,True,Economic Cooperation Organization (ECO),Economic Cooperation Organization (ECO) Preferences
25,64,0.6,False,ASEAN Free Trade Area (AFTA) - 1992,Association of Southeast Asian Nations (ASEAN) FTA
26,382,0.875,True,EFTA - Israel,EFTA Israel
27,636,1.0,True,North American Free Trade Agreement (NAFTA),North American Free Trade Agreement (NAFTA)
28,327+1,1.0,True,EC (15) Enlargement,EC Maastricht (15) Enlargement
29,243,0.7727272727272727,True,Common Market for Eastern and Southern Africa (COMESA),Common Market for Eastern and Southern Africa (COMESA)
30,355,1.0,True,EU - Türkiye,EC Turkey
31,440,1.0,True,Faroe Islands - Norway,Faroe Islands Norway
32,443,1.0,True,Faroe Islands - Switzerland,Faroe Islands Switzerland
33,165,1.0,True,Canada - Israel,Canada Israel
34,307,1.0,True,EU - Faroe Islands,EC Faroe Islands
35,666,1.0,True,South Asian Preferential Trade Arrangement (SAPTA),"South Asian Association for Regional Cooperation, Preferential Trading Arrangement (SAPTA)"
36,300,0.9375,True,EU - Palestine,EC Amsterdam
37,161,1.0,True,Canada - Chile,Canada Chile
38,28,1.0,True,EU - Andorra,Andorra EC
39,515,1.0,True,Türkiye - Israel,Israel Turkey
40,354,1.0,True,EU - Tunisia,EC Tunisia Euro-Med Association Agreement
41,435,0.6,False,Eurasian Economic Community (EAEC),Eurasian Economic Community (Union of the Five)
42,555,1.0,True,"Kyrgyz Republic - Moldova, Republic of",Kyrgyzstan Moldova
43,558,1.0,True,Kyrgyz Republic - Ukraine,Kyrgyzstan Ukraine
44,559,1.0,True,Kyrgyz Republic - Uzbekistan,Kyrgyzstan Uzbekistan
45,244,0.6666666666666666,False,Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
46,544,1.0,True,Kyrgyz Republic - Kazakhstan,Kazakhstan Kyrgyzstan
47,360,1.0,True,Economic and Monetary Community of Central Africa (CEMAC),Economic and Monetary Community of Central Africa (CEMAC)
48,390,0.6666666666666666,False,EFTA - Palestine,EFTA Mexico
49,603,0.75,True,Melanesian Spearhead Group (MSG),Melanesian Spearhead Group (MSG)
50,100+1,0.0,False,West African Economic and Monetary Union (WAEMU),Bangkok Agreement China accession
51,391,1.0,True,EFTA - Morocco,EFTA Morocco
52,330,1.0,True,EU - Mexico,EC Mexico
53,316,1.0,True,EU - Israel,EC Israel Euro-Med Association Agreement
54,787,0.6,False,East African Community (EAC),East African Community (EAC)
55,334,1.0,True,EU - Morocco,EC Morocco Euro-Med Association Agreement
56,347,1.0,True,EU - South Africa,EC South Africa
57,389,1.0,True,EFTA - North Macedonia,EFTA Macedonia
58,55,1.0,True,Kyrgyz Republic - Armenia,Armenia Kyrgyzstan
59,593,1.0,True,Türkiye - North Macedonia,Macedonia Turkey
60,52,1.0,True,Georgia - Armenia ,Armenia Georgia
61,86,1.0,True,Georgia - Azerbaijan ,Azerbaijan Georgia
62,454,1.0,True,Georgia - Kazakhstan ,Georgia Kazakhstan
63,455,1.0,True,Georgia - Russian Federation,Georgia Russia
64,457,1.0,True,Georgia - Turkmenistan ,Georgia Turkmenistan
65,458,1.0,True,Georgia - Ukraine ,Georgia Ukraine
66,509,1.0,True,Israel - Mexico,Israel Mexico
67,212,1.0,True,Chile - Mexico,Chile Mexico
68,390,1.0,True,EFTA - Mexico,EFTA Mexico
69,631,1.0,True,New Zealand - Singapore,New Zealand Singapore
70,300,0.9375,True,EU - North Macedonia,EC Amsterdam
71,543,1.0,True,United States - Jordan ,Jordan US
72,383,1.0,True,EFTA - Jordan ,EFTA Jordan
73,163,0.3333333333333333,False,Chile - Costa Rica (Chile - Central America),Canada Costa Rica
74,494,1.0,True,India - Sri Lanka,India Sri Lanka
75,520,1.0,True,Japan - Singapore,Japan Singapore
76,318,1.0,True,EU - Jordan,EC Jordan Euro-Med Association Agreement
77,163,1.0,True,Canada - Costa Rica,Canada Costa Rica
78,396,1.0,True,EFTA - Singapore,EFTA Singapore
79,335,0.9375,True,EU - Lebanon,EC Nice
80,136,1.0,True,Türkiye - Bosnia and Herzegovina,Bosnia and Herzegovina Turkey
81,82,1.0,True,Singapore - Australia,Australia Singapore
82,218,1.0,True,United States - Chile,Chile US
83,658,1.0,True,United States - Singapore,Singapore US
84,221,1.0,True,"China - Macao, China",China Macao
85,220,1.0,True,"China - Hong Kong, China",China Hong Kong
86,183,0.3333333333333333,False,Chile - El Salvador (Chile - Central America),Central America Chile
87,202,1.0,True,EU - Chile,Chile EC
88,208,1.0,True,"Korea, Republic of - Chile",Chile Korea
89,335+1,1.0,True,EC (25) Enlargement,EC Nice (25) Enlargement
90,100+1,1.0,True,Asia Pacific Trade Agreement (APTA) - Accession of China,Bangkok Agreement China accession
