tech,label_zh,sector,sample,fv,fa,ps,notes
aviationpkm,民航客运周转量,运输,core,,,,
aviationtkm,民航货运周转量,运输,core,,,,
steel_bof,氧气顶吹转炉钢,钢铁,core,,,,
steel_eaf,电弧炉钢,钢铁,core,,,,
steel_stainless,不锈钢,钢铁,core,,,,
steel_ohf,平炉钢,钢铁,core,,,,
steel_acidbess,酸性转炉钢,钢铁,core,,,,
steel_basicbess,碱性转炉钢,钢铁,core,,,,
elecprod,发电量,能源,core,,,,
shipton_steam,蒸汽商船吨位,运输,core,,,,
shipton_motor,内燃机商船吨位,运输,core,,,,
shipton_steammotor,机动商船吨位,运输,core,,,,
spindle_ring,环锭纺锭,纺织,core,,,,
spindle_mule,走锭纺锭,纺织,core,,,,
loom_auto,自动织机,纺织,core,,,,
railline,铁路营业里程,运输,core,,,,
railpkm,铁路客运周转量,运输,core,,,,
railtkm,铁路货运周转量,运输,core,,,,
telephone,固定电话主线,通信,core,,,,
telegram,电报,通信,core,,,,
mail,邮件,通信,core,,,,
bed_hosp,医院床位,医疗,core,,,,
atm,自动柜员机,金融,ext,,,,
pos,销售终端,金融,ext,,,,
kidney_dialpat,透析病人,医疗,ext,,,,
transplant_kidney,肾移植,医疗,ext,,,,
transplant_heart,心脏移植,医疗,ext,,,,
transplant_liver,肝移植,医疗,ext,,,,
transplant_lung,肺移植,医疗,ext,,,,
transplant_bonemarrow,骨髓移植,医疗,ext,,,,
med_catscanner,CT设备,医疗,ext,,,,
med_mriunit,核磁共振设备,医疗,ext,,,,
med_mammograph,乳腺X线机,医疗,ext,,,,
med_radiationequip,放疗设备,医疗,ext,,,,
med_lithotriptor,碎石机,医疗,ext,,,,
surg_corbypass,冠脉搭桥,医疗,ext,,,,
surg_pacemaker,起搏器植入,医疗,ext,,,,
surg_cardcath,心导管检查,医疗,ext,,,,
surg_corinterven,冠脉介入,医疗,ext,,,,
surg_corstent,冠脉支架,医疗,ext,,,,
surg_appendectomy,阑尾切除,医疗,ext,,,,
surg_cataract,白内障手术,医疗,ext,,,,
surg_lapcholecyst,腹腔镜胆囊切除,医疗,ext,,,,
surg_cholecyst,胆囊切除,医疗,ext,,,,
surg_hipreplace,髋关节置换,医疗,ext,,,,
surg_kneereplace,膝关节置换,医疗,ext,,,,
surg_hernia,疝修补,医疗,ext,,,,
surg_mastectomy,乳房切除,医疗,ext,,,,
surg_breastcnsv,保乳手术,医疗,ext,,,,
surg_prostatetrans,经尿道前列腺切除,医疗,ext,,,,
surg_prostatextrans,开放前列腺切除,医疗,ext,,,,
surg_hysterectomy,子宫切除,医疗,ext,,,,
surg_tonsil,扁桃体切除,医疗,ext,,,,
surg_csection,剖宫产,医疗,ext,,,,
surg_varicosevein,静脉曲张手术,医疗,ext,,,,
