grp,year,loss,n
约束较硬,1990.0,10.70260166699655,44
约束较硬,1991.0,11.042909150603435,45
约束较硬,1992.0,12.048884826372271,45
约束较硬,1993.0,13.213182471323602,46
约束较硬,1994.0,14.887349658814326,47
约束较硬,1995.0,13.963410733279046,47
约束较硬,1996.0,15.07612665858231,48
约束较硬,1997.0,14.047560224491734,48
约束较硬,1998.0,13.457323843588448,48
约束较硬,1999.0,13.639016280716868,48
约束较硬,2000.0,13.368047012031349,48
约束较硬,2001.0,12.272181486044214,47
约束较硬,2002.0,12.201869806695646,47
约束较硬,2003.0,11.971634338585577,47
约束较硬,2004.0,11.892979218832554,47
约束较硬,2005.0,11.669118409388089,48
约束较硬,2006.0,13.008457674339986,49
约束较硬,2007.0,12.650779776267138,49
约束较硬,2008.0,12.509950890499699,49
约束较硬,2009.0,11.545174898376926,48
约束较硬,2010.0,10.80765346085216,48
约束较硬,2011.0,10.760186042590918,48
约束较硬,2012.0,10.5777056668481,48
约束较硬,2013.0,10.669453938748688,48
约束较硬,2014.0,11.823283411887285,49
约束较硬,2015.0,11.779773691242923,49
约束较硬,2016.0,10.368175437392493,48
约束较硬,2017.0,11.787970585397156,49
约束较硬,2018.0,10.038666213490208,48
约束较硬,2019.0,11.166977751849698,49
中间,1990.0,13.918312417707156,46
中间,1991.0,13.210298639773988,48
中间,1992.0,13.209582981544436,48
中间,1993.0,13.50897295383433,48
中间,1994.0,14.222932284045115,48
中间,1995.0,14.549359731363092,48
中间,1996.0,15.383555835938418,48
中间,1997.0,14.829544934817422,48
中间,1998.0,14.177490315931573,48
中间,1999.0,13.876117298635386,48
中间,2000.0,15.438958334940997,48
中间,2001.0,15.65808660673707,48
中间,2002.0,15.246844936537606,48
中间,2003.0,15.668601976086483,48
中间,2004.0,15.488292637909517,48
中间,2005.0,15.00097066614291,48
中间,2006.0,15.652826264871543,48
中间,2007.0,16.204100130815036,48
中间,2008.0,15.037976755409082,47
中间,2009.0,15.839316492581723,48
中间,2010.0,14.44917623872867,48
中间,2011.0,15.350328350484643,48
中间,2012.0,14.490762153254678,48
中间,2013.0,13.543631957902113,47
中间,2014.0,13.497037258742887,47
中间,2015.0,14.049156050774686,48
中间,2016.0,13.5853075542622,48
中间,2017.0,12.593722550677683,48
中间,2018.0,13.029245422130058,48
中间,2019.0,12.481516692834889,48
约束较软,1990.0,12.623051289014864,40
约束较软,1991.0,13.176208971445302,42
约束较软,1992.0,13.431325343403815,44
约束较软,1993.0,14.328351510810336,44
约束较软,1994.0,15.08525625157257,44
约束较软,1995.0,15.658120559866164,44
约束较软,1996.0,15.998162599456645,44
约束较软,1997.0,16.379281002279978,44
约束较软,1998.0,16.498868581451543,45
约束较软,1999.0,17.26878144695497,45
约束较软,2000.0,17.339171655851334,48
约束较软,2001.0,18.15257410589537,48
约束较软,2002.0,16.876517463037395,47
约束较软,2003.0,16.126999216298703,47
约束较软,2004.0,16.496309465670393,47
约束较软,2005.0,17.250998469212163,47
约束较软,2006.0,17.73670000361931,48
约束较软,2007.0,17.229947665327643,47
约束较软,2008.0,18.487986854278873,48
约束较软,2009.0,17.622044420505528,48
约束较软,2010.0,17.339345630657245,48
约束较软,2011.0,15.917889047285458,47
约束较软,2012.0,16.095615594841956,49
约束较软,2013.0,14.920475133261364,49
约束较软,2014.0,15.65381203866807,49
约束较软,2015.0,15.727614649340408,48
约束较软,2016.0,15.733258348465917,48
约束较软,2017.0,14.720141318548224,48
约束较软,2018.0,14.302777458806652,48
约束较软,2019.0,14.603650382119156,48
