model,dv,term,coef,se,p,lo,hi,nobs,countries
E1 输配损耗，无控制,loss,soft,0.9799256115109515,0.9007948623918323,0.2784558923059577,-0.8003564004575782,2.7602076234794812,4913,147
E2 加入收入与民主控制,loss,soft,1.6812671921525213,0.8962521139677933,0.06268112428009842,-0.09013886902909163,3.452673253334134,4257,146
E3 后发国家,loss,soft,1.8216306350036577,0.9636785444317917,0.06111140492328282,-0.08622522596634119,3.7294864959736564,3381,122
E4 剔除曾高度国有化国家,loss,soft,2.1486920420103828,1.5605548682417278,0.17171980232236428,-0.9485773880359734,5.245961472056739,2862,98
E5 加入腐败控制,loss,soft,1.717636639205321,0.9085102929648989,0.060671891334122874,-0.0779972170755876,3.5132704954862297,4242,146
E6 剔除1990-1995转型期,loss,soft,1.915038682544347,0.9792620616429284,0.052435561393553654,-0.02043318351344503,3.850510548602139,3439,146
E7 约束软化滞后五年,loss,soft_l5,1.1164326234648332,0.5445207073182156,0.04213608177754158,0.04020946443410556,2.192655782495561,4186,146
E8 国家特定线性趋势,loss,soft,0.9379542739666343,0.9075753887559234,0.30310340588498597,-0.8558317819502986,2.7317403298835674,4257,146
Q1 人均用电量（WDI），全部年份,luse,soft,0.11375820366589943,0.0470604232473799,0.016878913145036645,0.020745180117062945,0.20677122721473593,4291,146
Q2 人均用电量，限输配损耗样本,luse,soft,0.11294976676426402,0.04722362304560665,0.018047644833459442,0.019614185413602506,0.20628534811492555,4257,146
Q3 人均发电量（CHAT，1990-2001）,lprod,soft,0.029677295936764374,0.02693096506595855,0.272572310040589,-0.023618292212004212,0.08297288408553297,1236,127
