c1,c2,onset,last,n_mids
2,40,1960,1996,15
2,70,1836,1919,23
2,130,1952,1980,7
2,200,1846,1939,13
2,230,1850,1941,12
2,345,1992,2000,7
2,365,1939,2014,60
2,620,1973,2011,14
2,630,1979,2012,18
2,645,1987,1997,12
2,651,1955,1973,7
2,710,1949,2014,40
2,731,1950,2014,24
2,770,2002,2014,9
91,93,1979,2001,20
93,94,1977,2010,13
100,101,1982,2010,14
101,110,1966,2013,8
130,135,1932,1998,28
145,150,1918,1938,14
155,160,1952,1984,25
200,325,1927,1943,10
200,365,1904,2013,39
200,640,1895,1934,14
200,645,1984,1997,15
200,710,1950,1968,13
211,255,1920,1939,8
220,255,1870,1939,20
220,325,1925,1940,14
220,620,1977,2011,7
220,640,1905,1938,17
220,645,1990,1997,6
230,600,1957,2002,13
310,345,1991,2000,13
310,360,1922,1971,9
325,640,1897,1940,15
339,345,1992,2000,11
350,355,1913,1952,11
350,640,1866,2012,49
350,645,1982,1997,6
352,640,1974,2011,12
365,369,1994,2014,8
365,372,1992,2013,12
365,385,1980,2012,16
365,630,1978,1993,17
365,640,1897,2013,32
365,666,1955,2013,8
365,700,1979,2001,11
365,710,1891,2012,46
365,740,1917,2013,47
371,373,1992,2002,8
471,475,1981,2005,7
483,620,1976,1994,6
490,500,1987,2013,10
490,517,1996,2014,9
490,551,1971,2004,8
500,501,1975,2010,11
500,517,1991,2010,8
501,520,2005,2013,10
501,530,1999,2006,6
520,530,1960,2011,21
530,531,1998,2012,9
530,625,1967,2008,10
551,552,1965,1977,7
551,560,1968,1987,9
620,625,1972,1984,6
620,651,1975,1985,10
630,640,1981,2014,13
630,645,1959,2011,32
630,670,1984,2012,8
630,690,1980,1987,8
630,700,1979,2014,16
640,645,1984,2014,18
640,652,1955,2013,13
645,690,1972,2000,16
651,663,1948,1990,7
651,666,1948,2014,38
652,666,1948,2011,41
660,666,1965,2009,10
663,666,1948,1990,12
680,698,1972,1987,6
700,770,1949,2011,16
702,704,1999,2012,6
703,704,1999,2012,6
710,713,1949,2014,27
710,731,1993,2010,6
710,732,1950,2014,15
710,740,1873,2013,44
710,750,1950,2014,22
710,816,1978,2014,20
710,817,1956,1974,8
710,840,1995,2014,10
713,740,1996,2012,6
731,732,1949,2014,31
731,740,1982,2013,11
732,740,1953,2012,12
750,770,1947,2008,40
750,771,1976,2013,18
775,800,1975,2013,30
800,811,1953,2014,18
800,812,1960,1987,9
811,817,1956,1968,10
