model,term,coef,se,p,lo,hi,nobs,countries
A1 民航事故数，泊松，1970-2021,soft,0.02177686023786891,0.11775726907654888,0.8532838838127557,-0.20902314606995917,0.252576866545697,5658,170
A2 同上，1990-2019,soft,-0.13292655734079373,0.15963658885968082,0.40502394592704505,-0.44580852212059624,0.17995540743900879,3082,170
S1 交互项，无控制,lat:soft,-0.1113578075392443,0.10185923857444988,0.27683351045503146,-0.31337158321787617,0.09065596813938755,1094,119
S2 加入交互控制,lat:soft,-0.11424847493314942,0.10243046184980238,0.2672849231779395,-0.31739513725244795,0.08889818738614912,1094,119
S3 后发国家,lat:soft,-0.12064176136071154,0.11291212613791005,0.28874132895260773,-0.34557425105301504,0.10429072833159193,756,93
S4 剔除曾高度国有化国家,lat:soft,0.0838985616806202,0.15586701398873468,0.59209805368031,-0.22696839551947096,0.3947655188807114,768,79
S5 加入腐败交互,lat:soft,-0.11098295840914872,0.10425937318667558,0.2895963566570987,-0.31775683500683755,0.09579091818854012,1088,119
S6 剔除1990-1994,lat:soft,-0.13926367382441765,0.12445329811763475,0.2657415004085677,-0.3860874376799246,0.10756009003108932,922,119
S7 年度数据,lat:soft,-0.07011163668400515,0.06262355784367307,0.2650951513817572,-0.19408122418174134,0.053857950813731056,5512,125
T 电力能力对约束软化的斜率,soft,-0.051857561851215435,0.12353045759124567,0.6753980150689194,-0.2964814989591513,0.19276637525672044,711,119
T 民航能力对约束软化的斜率,soft,0.06817122377173171,0.2015056776674746,0.7358188186073187,-0.33146776171444814,0.4678102092579116,547,119
