dropped,coef,se,p
aviationpkm,-0.011022798150926503,0.014025528499818701,0.43321171998659924
aviationtkm,0.007883077740041726,0.01909781033038332,0.6803862074707681
bed_hosp,0.017480665108192985,0.01927068445566677,0.3658844576635829
elecprod,0.012921202377363031,0.017859051747236995,0.4705567717712631
loom_auto,0.014978121804395273,0.017522546222561237,0.39408653966040497
mail,0.024187144896430368,0.022366026399037203,0.2813165179049202
railline,0.03306578076801091,0.01886117497574907,0.08171051476636593
railpkm,0.009869674435317822,0.017122742603374454,0.5652397584900819
railtkm,0.009830505659077697,0.016093329200687456,0.5422661557802062
shipton_motor,0.01541779554659254,0.01745838464430215,0.3786450188291437
shipton_steam,0.013534593091252142,0.01747483996556867,0.4398938761259188
shipton_steammotor,0.022335882826895078,0.016499915836464197,0.17795404412093463
spindle_mule,0.01527412843240577,0.017480806298326643,0.3837007080046253
spindle_ring,0.013936578990411992,0.01765178207259773,0.4311014810644933
steel_acidbess,0.014859198342991988,0.017482546244707797,0.39676674084038477
steel_basicbess,0.014873948762724513,0.01748133003534448,0.39626658849842
steel_bof,0.013196864769783004,0.01816122361901147,0.4686195684864105
steel_eaf,0.023844604949444133,0.018122994646388498,0.19036226317282234
steel_ohf,0.013876550204485347,0.01749667079077227,0.4290263498429443
steel_stainless,0.015186351151036075,0.017473876135709842,0.38624477250565903
telegram,0.026527476074552747,0.017809110109923375,0.13853080875282697
telephone,0.012969848719871904,0.019857953787183625,0.5147428785759116
