model,term,coef,se,p,lo,hi,nobs,countries,techs
M1 核心技术，全样本,lat:soft,0.013402570042970595,0.01690798003904592,0.429260966272893,-0.02001536879000821,0.0468205088759494,63100,148,22
M2 加入交互控制,lat:soft,0.014858563437288282,0.017486338259893843,0.39688901003087107,-0.019704496759894795,0.049421623634471355,61738,147,22
M3 后发国家（人均GDP<美国50%）,lat:soft,0.029589845822991366,0.016981552450893382,0.0836702258225086,-0.003990006026853593,0.06316969767283633,44537,140,22
M4 1945年以后,lat:soft,0.0159684387257099,0.014451084351065855,0.2710155990930003,-0.012596906962667378,0.044533784414087174,45769,146,22
M5 宽容度二分（>=2）,hilat:soft,0.12237445094446155,0.0849342368772212,0.15180805725839353,-0.04550444390239043,0.2902533457913135,61738,147,22
M6 含医疗与金融扩展技术,lat:soft,0.016281971364503794,0.017143429773126703,0.34383059242736436,-0.017603304467873705,0.050167247196881294,67892,147,55
M7 分维度：fv,fv:soft,0.0273138274592349,0.038673827666572715,0.48116679360559855,-0.049127896006736296,0.1037555509252061,61738,147,22
M7 分维度：fa,fa:soft,0.04305345292061556,0.04689534066308133,0.36011461507604414,-0.04963870813765549,0.13574561397888663,61738,147,22
M7 分维度：ps,ps:soft,0.038178005408304246,0.04912374177375532,0.4383272586607101,-0.05891875772199389,0.13527476853860237,61738,147,22
M8 剔除部门：医疗,lat:soft,0.017480665108192985,0.01927068445566677,0.3658844576635829,-0.020613835778598964,0.05557516599498494,60409,147,21
M8 剔除部门：纺织,lat:soft,0.014578758458350884,0.01769160131787585,0.4112741191840028,-0.020390019581175534,0.0495475364978773,59906,147,19
M8 剔除部门：能源,lat:soft,0.012921202377363031,0.017859051747236995,0.4705567717712631,-0.022382767452433207,0.048225172207159266,54170,147,21
M8 剔除部门：运输,lat:soft,-0.025912948481994155,0.01686680268717823,0.1266521954757125,-0.059251450113752574,0.007425553149764261,30715,147,14
M8 剔除部门：通信,lat:soft,0.033205940899678724,0.02400234135405025,0.16874603436190716,-0.014250953761162588,0.08066283556052004,44624,147,19
M8 剔除部门：钢铁,lat:soft,0.022912508253461358,0.019243433584960657,0.23574366728485918,-0.015123582751536021,0.06094859925845873,56421,147,16
M9 剔除曾高度国有化国家,lat:soft,-0.007414783048971939,0.030223141498053403,0.8066762133353556,-0.06734168963338116,0.052512123535437286,49965,108,22
M10 剔除1989-1995转型期,lat:soft,0.02041496049869963,0.018426686296496884,0.2697772593779255,-0.016011115548439387,0.05684103654583865,56395,147,22
M11 剔除1989年以后,lat:soft,0.03001461822281704,0.0196555894605428,0.1293427220417347,-0.008895584284856744,0.06892482073049082,54083,128,22
