k,coef,se,lo,hi
-10,0.06614990890350705,0.10819064669621295,-0.14733520992550403,0.27963502773251814
-9,-0.028979646472224806,0.07232393447358591,-0.17169146322131126,0.11373217027686164
-8,-0.026275183273379597,0.07331209492815013,-0.17093686868955257,0.11838650214279337
-7,-0.0328753935785925,0.07333061431290487,-0.17757362201558785,0.11182283485840283
-6,-0.0062436207209905815,0.07138745021237744,-0.1471075378605391,0.13462029641855794
-5,-0.015094664808553194,0.06752393586203187,-0.1483349763466206,0.1181456467295142
-4,-0.005237088031249817,0.06679863365100525,-0.13704621089047753,0.1265720348279779
-3,0.03628083330028165,0.061481726673184335,-0.08503680482690568,0.15759847142746897
-2,0.002722992819862893,0.04717441791295749,-0.09036302266644328,0.09580900830616906
0,-0.013421043235349673,0.015532313854585988,-0.04406988368683995,0.01722779721614061
1,-0.028484424595001116,0.025849155544784102,-0.07949077506633985,0.022521925876337622
2,-0.02644860007221557,0.0278606219848826,-0.08142403812273066,0.028526837978299524
3,-0.0025838411242142794,0.029035238232698265,-0.05987706816019989,0.054709385911771324
4,-0.01835346273116131,0.02987920820238581,-0.07731203732508114,0.04060511186275852
5,-0.026043149894413406,0.03550308691068776,-0.09609893530077043,0.04401263551194362
6,0.015127420971200033,0.03843938793393775,-0.060722364120050394,0.09097720606245047
7,0.028131377842851073,0.039287995187546366,-0.04939290523790197,0.10565566092360412
8,0.032853595113241506,0.0478618071316803,-0.061588797966895585,0.1272959881933786
9,0.023879905335488068,0.053157025702716194,-0.0810111762439179,0.12877098691489405
10,0.040596200677676664,0.052792128808429234,-0.06357485510267921,0.14476725645803254
11,0.06916067427290222,0.05537822465535934,-0.04011334554403345,0.1784346940898379
12,0.09472426083561142,0.059663869631011335,-0.023006325744022477,0.2124548474152453
13,0.09158814506946195,0.0599544212205306,-0.0267157668623038,0.2098920570012277
14,0.08257523848988567,0.06309354288932581,-0.04192288507611856,0.2070733620558899
15,0.12536904113379713,0.07056450993386479,-0.013871024882643135,0.2646091071502374
16,0.12390524252629437,0.07558465661835874,-0.025240731664329802,0.27305121671691857
17,0.09707625564147028,0.07991066149371127,-0.06060592470995728,0.2547584359928978
18,0.13396434262107032,0.0815334840422663,-0.02692004120354155,0.29484872644568216
19,0.14843563215465078,0.08234508918514266,-0.014050235954048113,0.31092150026334964
20,0.4148328142442072,0.123284776084777,0.17156349405825147,0.658102134430163
