outcome,term,n,consistency,coverage
MID,LOWLAT*PRESS,9,0.78,0.37
MID,~HARD*LOWLAT,8,0.75,0.32
MID,EXT*~PRESS,4,0.75,0.16
MID,~HARD*PRESS,11,0.73,0.42
MID,~EXT*PRESS,11,0.73,0.42
MID,HARD*~LOWLAT,7,0.71,0.26
MID,EXT*~LOWLAT,7,0.71,0.26
MID,~EXT*LOWLAT,7,0.71,0.26
MID,PRESS,20,0.7,0.74
MID,LOWLAT,13,0.69,0.47
MID,EXT,13,0.69,0.47
MID,HARD,12,0.67,0.42
MID,HARD*PRESS,9,0.67,0.32
MID,EXT*PRESS,9,0.67,0.32
MID,EXT*LOWLAT,6,0.67,0.21
MID,HARD*~PRESS,3,0.67,0.11
MID,EXT*HARD,11,0.64,0.37
MID,~LOWLAT*PRESS,11,0.64,0.37
MID,~HARD,18,0.61,0.58
MID,HARD*LOWLAT,5,0.6,0.16
MID,~LOWLAT,17,0.59,0.53
MID,~EXT,17,0.59,0.53
MID,~EXT*~HARD,16,0.56,0.47
MID,~PRESS,10,0.5,0.26
MID,~HARD*~LOWLAT,10,0.5,0.26
MID,~EXT*~LOWLAT,10,0.5,0.26
MID,~LOWLAT*~PRESS,6,0.5,0.16
MID,LOWLAT*~PRESS,4,0.5,0.11
MID,~HARD*~PRESS,7,0.43,0.16
MID,~EXT*~PRESS,6,0.33,0.11
ADV,EXT*LOWLAT,6,0.67,0.8
ADV,EXT*PRESS,9,0.44,0.8
ADV,HARD*LOWLAT,5,0.4,0.4
ADV,EXT,13,0.38,1.0
ADV,HARD*PRESS,9,0.33,0.6
ADV,LOWLAT*PRESS,9,0.33,0.6
ADV,LOWLAT,13,0.31,0.8
ADV,EXT*HARD,11,0.27,0.6
ADV,HARD,12,0.25,0.6
ADV,~HARD*LOWLAT,8,0.25,0.4
ADV,LOWLAT*~PRESS,4,0.25,0.2
ADV,EXT*~PRESS,4,0.25,0.2
ADV,PRESS,20,0.2,0.8
ADV,HARD*~LOWLAT,7,0.14,0.2
ADV,EXT*~LOWLAT,7,0.14,0.2
ADV,~HARD*~PRESS,7,0.14,0.2
ADV,~HARD,18,0.11,0.4
ADV,~PRESS,10,0.1,0.2
ADV,~HARD*PRESS,11,0.09,0.2
ADV,~LOWLAT*PRESS,11,0.09,0.2
ADV,~LOWLAT,17,0.06,0.2
ADV,~EXT,17,0.0,0.0
ADV,HARD*~PRESS,3,0.0,0.0
ADV,~HARD*~LOWLAT,10,0.0,0.0
ADV,~LOWLAT*~PRESS,6,0.0,0.0
ADV,~EXT*LOWLAT,7,0.0,0.0
ADV,~EXT*PRESS,11,0.0,0.0
ADV,~EXT*~HARD,16,0.0,0.0
ADV,~EXT*~LOWLAT,10,0.0,0.0
ADV,~EXT*~PRESS,6,0.0,0.0
