sample,model,term,coef,se,p,n
全部30项,OLS,hard,0.08988572899202402,0.1864092360958,0.6296669429872535,30
全部30项,OLS,lat,-0.3112309628994348,0.18062586683790383,0.08487591669291152,30
全部30项,OLS,hard:lat,0.04977793898478923,0.07562287663202615,0.5103844636125667,30
全部30项,OLS,ext,0.05903273880281698,0.5228635281316713,0.9101076430457099,30
全部30项,OLS,press,0.21383899646299928,0.31564613946559494,0.498111402337851,30
全部30项,OLS 无交互,hard,0.16341919175829447,0.14600659311164474,0.263029666393783,30
全部30项,OLS 无交互,lat,-0.23982667195431834,0.13466154356037446,0.07491916834116513,30
全部30项,OLS 无交互,ext,0.09908579287858854,0.5270445633907263,0.8508745466156298,30
全部30项,OLS 无交互,press,0.21411528325370777,0.3138364272740358,0.49508011633495397,30
全部30项,有序logit,hard,0.4864805748739097,0.3676973417432723,0.18582001061407583,30
全部30项,有序logit,lat,-0.8012678515163031,0.359132177516722,0.025673021303475294,30
全部30项,有序logit,ext,0.4788784214148338,1.1614745236798496,0.6801179867756402,30
全部30项,有序logit,press,0.8436566267195951,0.801321398358073,0.2924181011359416,30
剔除低置信度,OLS,hard,0.07186614196798913,0.25458307057525675,0.7777214931448376,23
剔除低置信度,OLS,lat,-0.23313023134790556,0.38849294054175965,0.548447109821903,23
剔除低置信度,OLS,hard:lat,0.03068006659282807,0.1389540581847311,0.8252537082855724,23
剔除低置信度,OLS,ext,0.40006171119620737,0.5737550293829413,0.4856343384976387,23
剔除低置信度,OLS,press,0.24586657026211184,0.3783380356937643,0.5157829749183444,23
剔除低置信度,OLS 无交互,hard,0.1205288084877793,0.15459235577144778,0.43559357174045554,23
剔除低置信度,OLS 无交互,lat,-0.18251711978229523,0.1451912273547513,0.20872434006399032,23
剔除低置信度,OLS 无交互,ext,0.4345523305838038,0.5479561590177776,0.42775326551525317,23
剔除低置信度,OLS 无交互,press,0.2437435257285431,0.3591070580299116,0.49729696752676544,23
剔除低置信度,有序logit,hard,0.29140431274808576,0.36998560204411984,0.4309249383438031,23
剔除低置信度,有序logit,lat,-0.6361726942754338,0.37349823119850806,0.08851536754184541,23
剔除低置信度,有序logit,ext,1.6935412307934836,1.2779648908271017,0.18510945491286734,23
剔除低置信度,有序logit,press,0.9934408263472934,0.9074226259232305,0.2736069052899126,23
