model,term,coef,se,p,lo,hi,nobs,countries
P1 部门约束，无控制,lat:etcr,-0.022015010523084584,0.055776471670846324,0.6956823467516586,-0.13562796544998926,0.09159794440382008,494,34
P1 部门约束，无控制,etcr,-0.08861153977548171,0.1232804872147982,0.47749267536145545,-0.33972567478131094,0.16250259523034755,494,34
P2 加入交互控制,lat:etcr,-0.016241688258260452,0.056436423705458864,0.7753652025046198,-0.13119892148955173,0.09871554497303084,494,34
P2 加入交互控制,etcr,-0.11542598498083764,0.13283438870785122,0.39134726185362867,-0.3860007804979998,0.15514881053632454,494,34
P3 后发国家（人均GDP<美国50%）,lat:etcr,-0.05395214949795656,0.0620743735970331,0.40052589843293673,-0.18805568058654845,0.08015138159063531,168,14
P3 后发国家（人均GDP<美国50%）,etcr,0.050944836948998665,0.1420976106966094,0.7257092114227328,-0.2560383873582084,0.3579280612562057,168,14
P4 1990年以前,lat:etcr,-0.11221059401570183,0.10688070678239471,0.30244974959461546,-0.3308061836991494,0.10638499566774576,180,30
P4 1990年以前,etcr,0.13854453133254196,0.2043881217899774,0.5032395377006633,-0.279476113852149,0.5565651765172329,180,30
P5 1990年以后,lat:etcr,0.04276305802795513,0.0796391724505374,0.5950093156639062,-0.11945662778211366,0.20498274383802392,314,34
P5 1990年以后,etcr,-0.222674320426174,0.17919714206493126,0.22303614521817972,-0.5876869541509893,0.1423383132986413,314,34
P6 延长到2019（电力数据拼接）,lat:etcr,-0.01190241995768568,0.0527631421329059,0.8229177252001707,-0.11924983976857645,0.09544499985320509,558,34
P6 延长到2019（电力数据拼接）,etcr,-0.00985584153296344,0.05810624261129236,0.8663464153202982,-0.12807388100294032,0.10836219793701345,558,34
P7 同一样本，国家层面国有化程度,lat:soft_nat,0.07021358093120808,0.0973271284880205,0.47589049539286,-0.12803529230926647,0.26846245417168263,494,34
P8 部门约束与国家层面同时放入,lat:etcr,-0.011425216557653895,0.05506814436294544,0.8369542960065852,-0.12359535597301191,0.10074492285770412,494,34
P8 部门约束与国家层面同时放入,etcr,-0.12210101179454945,0.1318065160472867,0.36119035665512556,-0.3905820992165767,0.1463800756274778,494,34
P8 部门约束与国家层面同时放入,lat:soft_nat,0.0759296024453289,0.09871211488350366,0.4474138230779727,-0.1251403957643439,0.27699960065500173,494,34
