soft_group,year,ohf_share
约束较硬,1960,0.5317
约束较硬,1961,0.5133
约束较硬,1962,0.4698
约束较硬,1963,0.4291
约束较硬,1964,0.3905
约束较硬,1965,0.3595
约束较硬,1966,0.3244
约束较硬,1967,0.2976
约束较硬,1968,0.3324
约束较硬,1969,0.2932
约束较硬,1970,0.37
约束较硬,1971,0.3547
约束较硬,1972,0.2843
约束较硬,1973,0.2694
约束较硬,1974,0.2452
约束较硬,1975,0.2219
约束较硬,1976,0.1878
约束较硬,1977,0.1366
约束较硬,1978,0.1195
约束较硬,1979,0.112
约束较硬,1980,0.1029
约束较硬,1981,0.0843
约束较硬,1982,0.0506
约束较硬,1983,0.0175
约束较硬,1984,0.0112
约束较硬,1985,0.0072
约束较硬,1986,0.0053
约束较硬,1987,0.0034
约束较硬,1988,0.005
约束较硬,1989,0.0039
约束较硬,1990,0.0027
约束较硬,1992,0.001
约束较硬,1993,0.0012
约束较硬,1994,0.0
约束较硬,1995,0.0
约束较硬,1996,0.0
约束较硬,1997,0.0
约束较硬,1998,0.0
约束较硬,1999,0.0
约束较硬,2000,0.0
约束较硬,2001,0.0
中间,1960,0.5846
中间,1961,0.5727
中间,1962,0.571
中间,1963,0.5571
中间,1964,0.5466
中间,1965,0.5134
中间,1966,0.4954
中间,1967,0.4875
中间,1968,0.4534
中间,1969,0.4333
中间,1970,0.5021
中间,1971,0.4888
中间,1972,0.465
中间,1973,0.4468
中间,1974,0.4383
中间,1975,0.4114
中间,1976,0.3632
中间,1977,0.3418
中间,1978,0.2924
中间,1979,0.2548
中间,1980,0.1766
中间,1981,0.1105
中间,1982,0.1029
中间,1983,0.094
中间,1984,0.0892
中间,1985,0.0768
中间,1986,0.07
中间,1987,0.0677
中间,1988,0.0627
中间,1989,0.0515
中间,1990,0.0432
中间,1992,0.1137
中间,1993,0.1135
中间,1994,0.1211
中间,1995,0.1093
中间,1996,0.1153
中间,1997,0.0995
中间,1998,0.0874
中间,1999,0.0781
中间,2000,0.0726
中间,2001,0.0713
约束较软,1960,0.313
约束较软,1961,0.2778
约束较软,1962,0.2742
约束较软,1963,0.254
约束较软,1964,0.258
约束较软,1965,0.2608
约束较软,1966,0.2621
约束较软,1967,0.1998
约束较软,1968,0.178
约束较软,1969,0.1844
约束较软,1970,0.6342
约束较软,1971,0.6567
约束较软,1972,0.6397
约束较软,1973,0.6302
约束较软,1974,0.5604
约束较软,1975,0.5378
约束较软,1976,0.519
约束较软,1977,0.4944
约束较软,1978,0.4986
约束较软,1979,0.4849
约束较软,1980,0.4686
约束较软,1981,0.4575
约束较软,1982,0.4296
约束较软,1983,0.4238
约束较软,1984,0.4014
约束较软,1985,0.3984
约束较软,1986,0.3884
约束较软,1987,0.3755
约束较软,1988,0.3706
约束较软,1989,0.3627
约束较软,1990,0.351
约束较软,1992,0.3645
约束较软,1993,0.3117
约束较软,1994,0.2813
约束较软,1995,0.2756
约束较软,1996,0.2939
约束较软,1997,0.2852
约束较软,1998,0.2734
约束较软,1999,0.1751
约束较软,2000,0.1203
约束较软,2001,0.1147
