model,term,coef,se,p,lo,hi,nobs,countries,techs
R1 三项技术，1970-2014,lat:soft,0.03210613632037218,0.05441957448764919,0.556248108633359,-0.07557228937891802,0.13978456201966238,2326,133,3
R2 加入交互控制,lat:soft,0.028872260099252464,0.059438706985186864,0.6279759957169184,-0.08873737676438931,0.14648189696289424,2326,133,3
R3 后发国家,lat:soft,0.03299593031583596,0.06414061448550804,0.6080316811771747,-0.09418305975662926,0.16017492038830117,1721,110,3
R4 剔除曾高度国有化国家,lat:soft,0.015283570872701794,0.07491780824718178,0.8388264259766307,-0.13362368523789872,0.1641908269833023,1613,90,3
R5 加入腐败交互,lat:soft,0.018314236241230065,0.057152855685453766,0.749155013783773,-0.0947724532885659,0.13140092577102602,2316,133,3
R6 1990年以前,lat:soft,0.007722837974797693,0.12797015232690145,0.9520033362069964,-0.2462959067372408,0.26174158268683617,941,108,3
R7 1990年以后,lat:soft,-0.07653452701875282,0.09621280452989335,0.42785946897605553,-0.2669666179875603,0.1138975639500546,1367,133,3
R8 民航以客运周转量为暴露，1960-1999,lat:soft,0.45540686375270895,0.21945414498851318,0.041029383484756154,0.018998229570662828,0.891815497934755,856,115,3
R9 钢铁限曾用平炉或转炉的国家,lat:soft,-9.941748688921157e-07,0.05525053007199768,0.9999856715961584,-0.10934865029880406,0.10934666194906628,2117,133,3
D 剔除民航,lat:soft,0.33309197923235473,0.16558551999237064,0.04746776114334006,0.003807013464326936,0.6623769450003825,954,88,2
D 剔除钢铁,lat:soft,0.00026888379736518373,0.05534976367080723,0.9961318393839689,-0.10929257962340262,0.10983034721813299,1820,131,2
D 剔除电力,lat:soft,-0.11686603876867312,0.1357833936265818,0.39215748941577355,-0.387360429689921,0.15362835215257475,888,88,2
