id,country,start,project,technology,fv,fa,ps,h_loss,h_demand,h_comp,h_cond,h_mgr,basis,ext,press,outcome,outcome_year,conf,evidence,sources
P01,CHN,1865,江南制造局,枪炮与轮船制造,1,0,1,0,0,0,0,0,none,0,1,1,1885,medium,经费来自关税二成拨付，产品由各军调拨；1885年停止造船；枪炮长期依赖外籍技师，质量不及进口,"Kennedy 1978, The Arms of Kiangnan"
P02,CHN,1866,福州船政局,轮船制造,1,0,1,0,0,0,1,0,functional,0,1,2,1886,medium,日意格合同规定五年内交付16艘船并使中方能独立造船；1874年后中方自行造船，1889年造出装甲巡洋舰平远,"Pong 1994, Shen Pao-chen and China's Modernization; Foochow Arsenal 相关研究"
P03,CHN,1872,轮船招商局,轮船航运经营,0,0,1,0,0,1,0,1,functional,1,1,1,1892,medium,与太古、怡和等外商在长江航线价格战；享有漕粮运输与官款；1884–85年唐廷枢、徐润因财务危机离任；船长轮机长长期雇用外籍,"Feuerwerker 1958; Lai 1992, Journal of Economic History"
P04,CHN,1890,汉阳铁厂,钢铁（酸性转炉）,1,0,1,0,0,0,0,0,none,0,1,1,1910,medium,张之洞以省库与官款兴办，设备与大冶高磷矿不配，早期钢轨含磷高；1905–08年改为平炉，依赖日本借款,Hanyang rail steel metallurgy study (PMC9409968); Feuerwerker 1958
P05,CHN,1881,中国电报局,电报网络,1,0,1,1,0,1,0,0,functional,1,1,1,1901,low,官督商办，商股出资并与大北、大东公司竞争国际电报业务；设电报学堂培养报务人员；设备与器材依赖进口,"Feuerwerker 1958; Baark 1997, Lightning Wires"
P06,CHN,1905,京张铁路,铁路勘测设计与修建,2,1,1,1,0,0,1,1,functional,1,1,2,1909,medium,以关内外铁路余利为固定经费，詹天佑主持，英俄工程界质疑中方能力；提前完工且低于预算，自行设计越岭线,京张铁路相关研究；詹天佑传记文献
P07,JPN,1872,富冈制丝场,机械缫丝,0,0,1,0,1,1,0,0,functional,1,1,1,1892,medium,官营，长期亏损由政府承担；生丝出口里昂等市场按品级定价；1893年出售给三井；适应性改良主要来自诹访等民营缫丝厂,Nakabayashi 2014 等日本缫丝业研究；富冈制丝场史料
P08,JPN,1881,二千锤纺绩所（官营与官贷）,棉纺（走锭）,1,0,1,0,1,1,0,0,functional,1,0,1,1901,low,政府以延期付款出售小型走锭设备并设官营示范厂，水力驱动、规模过小，多数长期亏损,Saxonhouse 1974; 中冈哲郎关于日本纺织技术史的研究
P09,JPN,1882,大阪纺绩,棉纺（走锭，1890年代改环锭）,1,0,1,1,1,1,1,1,functional,1,0,2,1902,high,涩泽荣一集资的民营企业，无政府补贴，与印英进口纱竞争；1886年电灯照明实行夜班，1890年代改用环锭并调整原棉配比,TOYOBO STORY; Britannica; Saxonhouse 1974
P10,JPN,1896,官营八幡制铁所,钢铁（高炉与平炉、转炉）,1,0,0,0,0,0,0,1,administrative,0,1,2,1921,medium,国家预算兴办，产品主要供海军与铁路；1902年一号高炉停炉，野吕景义调查改造后1904年复产；1910年代成为国内主要钢材来源,Japan Gov. Highlighting Japan 2018; Meiji Industrial Revolution sites
P11,JPN,1893,官设铁道机车制造,蒸汽机车制造,1,0,0,0,0,1,0,0,functional,1,1,3,1913,medium,神户工场1893年造出首台国产机车；民营铁路大量采购进口机车形成对照；1913年起9600型由国内厂商批量生产,JNR Class 9600 (Wikipedia); Old Tokyo JGR locomotive evolution
P12,JPN,1884,横须贺海军工厂,钢制军舰建造,1,0,1,0,0,0,0,0,none,0,1,2,1904,medium,海军预算保障，与英国建造舰只并行；1890年代起可按外国设计建造，1905年开工的萨摩号为国内设计建造的战列舰,日本海军造船史研究
P13,JPN,1885,琵琶湖疏水,运河与水力发电,2,1,1,0,0,0,0,1,administrative,0,0,2,1891,medium,京都府以中央拨款、皇室捐款与地方税兴办，地方居民因增税强烈反对；首个完全由日本人勘测设计施工的大型近代土木工程，1891年建成蹴上水电站,Lake Biwa Canal (Kyoto City); ETHW Keage Milestone
P14,EGY,1843,尼罗河三角洲拦河坝,拦河坝与灌溉,2,2,1,0,0,0,0,0,none,0,0,0,1863,medium,穆罕默德·阿里时期由法国工程师设计，以徭役修建；1862年前后建成即出现裂缝而弃用，1885–90年由英国工程师修复,Scott-Moncrieff (Wikipedia); Prague Papers 2017 on the Delta Barrage
